,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto,status
501,"{'CA': 4, 'CV': 1, 'DS': 28, 'FC': 18, 'FD': 1, 'FF': 4, 'FS': 30}",107498,15,266,4,7,2.3,9.06,-0.5,3.37,12,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",andre,André,André,André Trindade da Costa Neto,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_VrJSWeV.png,Provável
502,"{'DS': 9, 'FC': 12, 'FF': 2, 'FS': 11, 'G': 1, 'I': 1}",109573,15,266,4,6,-0.1,4.58,-1.59,2.47,9,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",martinelli,Martinelli,Martinelli,Matheus Martinelli Lima,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_eSiqEBR.png,Nulo
503,"{'CA': 2, 'DS': 6, 'FC': 9, 'FF': 4, 'FS': 7, 'I': 1}",86859,15,356,4,2,3.3,3.13,0.13,1.14,8,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",jose-welison,José Welison,J. Welison,José Welison da Silva,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_Sq4MDcU.png,Dúvida
504,"{'CA': 1, 'FC': 2, 'FS': 2}",121985,15,266,4,6,0.0,1.9,0.0,-0.3,2,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",giovanni-manson,Giovanni Manson,G. Manson,Giovanni Manson Ribeiro,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_7pCfzQS.png,Nulo
505,"{'A': 1, 'CA': 3, 'DS': 24, 'FC': 13, 'FD': 1, 'FF': 2, 'FS': 10, 'PC': 1, 'SG': 7}",50353,15,356,3,7,2.6,8.21,-0.6,5.29,13,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",titi,Titi,Titi,Christian Chagas Tarouco,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,Provável
506,"{'DE': 8, 'GS': 8}",82730,15,290,1,6,0.0,2.34,0.0,0.0,3,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",marcelo-rangel,Marcelo Rangel,M. Rangel,Marcelo Rangel da Rosa,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jsdA8Zf.png,Nulo
507,"{'CA': 1, 'DE': 26, 'DP': 1, 'FS': 2, 'GS': 8, 'SG': 5}",81881,15,356,1,7,-1.0,6.89,-1.33,5.0,10,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",joao-ricardo,João Ricardo,J. Ricardo,João Ricardo Riedi,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_KgJZuxA.png,Provável
508,"{'A': 1, 'CA': 1, 'DS': 1, 'FC': 5, 'FF': 2, 'FS': 3, 'FT': 1, 'G': 2, 'I': 4}",79188,15,356,5,6,3.0,5.01,0.13,2.54,10,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",silvio-romero,Silvio Romero,S. Romero,Silvio Ezequiel Romero,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_So2bREb.png,Nulo
509,"{'DS': 2, 'FC': 1, 'FD': 1, 'FS': 1, 'FT': 1}",88597,15,356,4,6,3.0,3.99,0.26,1.36,5,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",lucas-crispim,Lucas Crispim,L. Crispim,Lucas de Figueiredo Crispim,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_EvxhSX5.png,Nulo
510,"{'DS': 13, 'FC': 20, 'FD': 5, 'FF': 11, 'FS': 11, 'G': 2, 'I': 2, 'PS': 1}",101002,15,263,5,7,2.0,7.0,-0.05,3.11,15,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",junior-santos,Júnior Santos,J. Santos,José Antonio dos Santos Júnior,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_20JkUu3.png,Provável
