,rodada_id,atleta_id,apelido,clube,posicao,preco_open,pontos_num,variacao_num,ieo_gm_mean,iao_gm_mean,ied_gm_mean,ieg_gm_mean,iro_gm,irp_gm,ippc_gm_mean,ranking_clube,fase,prob_vitoria_mandante,prob_vitoria_visitante,prob_vitoria,mando,XP_mandante,XP_visitante,XP,media_movel_mandante,media_movel_visitante,media_movel,odds,points_next,binary_prob
1927,11,110759,John Kennedy,Fluminense,ATA,9.99,-0.5,-0.26,12.587272727272724,16.363636363636363,28.920310815267626,12.29198628856109,10.825454545454548,4.653191798749456,0.3883634519584038,0,5,71.49696997582416,29.80558511461893,71.49696997582416,mandante,3.3625000000000003,0.0,0,1.0,1.4666666666666668,1.0,0,0,0.3333333333333333
1926,11,113103,Flaco López,Palmeiras,ATA,7.0500000000000025,-0.5,-0.56,6.992727272727272,9.090909090909092,27.696951674127735,12.29198628856109,23.08,14.045017770172436,0.19786766271011533,0,8,38.647906909512905,29.80558511461893,38.647906909512905,mandante,5.65,0.0,0,0.6,-0.5,0.6,0,0,0.3333333333333333
1131,11,115061,Thauan Lara,Internacional,LAT,2.6,6.0,1.01,0.0,0.0,29.65635926360261,12.804251800826602,4.04,3.6378334680679054,0.8796087105303823,0,10,43.9402014776439,34.33144561212136,34.33144561212136,visitante,0.0,4.329166666666667,0,3.45,3.675,3.45,0,0,0.3333333333333333
1132,11,110021,Jhoanner Chávez,Bahia,LAT,6.53,5.8,0.62,7.837272727272728,0.0,30.451591536754492,12.760961757536556,3.838181818181818,4.270957489074295,0.3963203483004644,0,6,43.9402014776439,10.51178406615634,10.51178406615634,visitante,0.0,2.025,0,2.9,1.2,2.9,0,0,0.3333333333333333
1923,11,106199,Gabriel Pec,Vasco,ATA,14.94,-0.3,-0.71,16.970000000000002,10.909090909090908,30.16237448955696,12.29198628856109,15.013636363636365,10.947663789804857,0.4526417997674797,0,0,39.426823352320774,29.80558511461893,39.426823352320774,mandante,3.305,0.0,0,1.1333333333333335,2.9000000000000004,1.1333333333333335,0,0,0.3333333333333333
1895,11,90302,Pedro Rocha,Fortaleza,ATA,5.0,0.0,0.0,0.0,0.0,28.44770242487849,12.29198628856109,0.0,0.0,0.0,0,7,36.85423779518858,29.80558511461893,36.85423779518858,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.3333333333333333
2298,11,104783,Acevedo,Bahia,MEI,4.3900000000000015,10.8,1.55,0.0,0.0,38.27006427760089,12.29198628856109,6.8181818181818175,4.916567342073897,0.6947411396805456,0,6,43.9402014776439,10.51178406615634,10.51178406615634,visitante,0.0,2.05,0,5.033333333333334,2.85,5.033333333333334,0,0,0.3333333333333333
1157,11,89273,João Pedro,Grêmio,LAT,11.53,0.2,-0.84,9.090909090909092,3.03030303030303,35.38168785784973,12.525086521661324,1.2118181818181821,3.984187754847948,0.4303905145143405,0,12,77.7399287162537,29.80558511461893,77.7399287162537,mandante,3.85,0.0,0,0.1,2.7,0.1,0,0,0.3333333333333333
1176,11,102130,Piquerez,Palmeiras,LAT,10.7,0.0,0.0,18.181818181818183,0.0,38.705336217117726,12.991593698694816,1.0627272727272727,5.976043174937475,0.4384998225529108,0,8,38.647906909512905,29.80558511461893,38.647906909512905,mandante,2.4333333333333336,0.0,0,5.6,7.15,5.6,0,0,0.3333333333333333
207,11,91971,Wesley Carvalho,Athletico-PR,TEC,10.7,4.26,-1.27,0.0,0.0,27.777777777777782,8.333333333333332,0.0,7.101398760361889,0.3981308411214953,0,4,53.332712157274436,29.80558511461893,53.332712157274436,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.3333333333333333
1136,11,105531,Matheus Bidu,Corinthians,LAT,5.73,5.5,0.9,0.0,0.0,32.73082450338597,12.804251800826602,7.333636363636364,6.55896294863113,0.5847663712638517,0,7,43.9402014776439,21.018789127574593,21.018789127574593,visitante,0.0,3.316666666666667,0,4.733333333333333,4.5,4.733333333333333,0,0,0.3333333333333333
1180,11,86410,Victor Luis,Coritiba,LAT,3.11,0.0,0.0,0.0,0.0,29.035315842909547,12.51925901583382,0.9090909090909092,1.6986941288884172,0.2835353069533213,0,2,43.9402014776439,8.122911163715262,8.122911163715262,visitante,0.0,1.2791666666666668,0,2.85,0.7,2.85,0,0,0.3333333333333333
205,11,37281,Mano Menezes,Internacional,TEC,11.13,6.11,0.39,0.0,0.0,28.44770242487849,12.29198628856109,0.0,9.104688763136624,0.444820190045224,0,10,43.9402014776439,34.33144561212136,34.33144561212136,visitante,0.0,4.604166666666666,0,5.03,4.1875,5.03,0,0,0.3333333333333333
1144,11,103347,Matheus Alexandre,Cuiabá,LAT,5.96,3.1,0.3,0.0,0.0,50.31394927218346,12.77078676736157,3.767272727272727,8.2222384998535,0.8648843629094582,0,8,43.9402014776439,30.270811806325217,30.270811806325217,visitante,0.0,6.575,0,3.466666666666667,7.274999999999999,3.466666666666667,0,0,0.3333333333333333
1142,11,107236,Vanderlan,Palmeiras,LAT,6.9700000000000015,3.8,-0.27,9.090909090909092,0.0,32.950522836789816,12.29198628856109,2.597272727272727,2.4746610504146376,0.2803219397460497,0,8,38.647906909512905,29.80558511461893,38.647906909512905,mandante,3.3,0.0,0,3.0,4.4,3.0,0,0,0.3333333333333333
200,11,41327,Vanderlei Luxemburgo,Corinthians,TEC,6.6999999999999975,7.91,1.07,0.0,0.0,26.643641243196306,13.736892349193447,0.0,8.27899777498307,0.631380262413771,0,7,43.9402014776439,21.018789127574593,21.018789127574593,visitante,0.0,2.78625,0,5.16,3.8725,5.16,0,0,0.3333333333333333
1127,11,70171,Rafael,Botafogo,LAT,5.49,6.4,0.42,0.0,0.0,38.953898160536696,13.004884501459305,0.4781818181818182,3.796298608856365,0.6128085638141093,0,12,43.9402014776439,30.87222387856857,30.87222387856857,visitante,0.0,3.1,0,6.9,4.5,6.9,0,0,0.3333333333333333
1769,11,73850,Aloísio,América-MG,ATA,8.67,4.3,0.44,21.765454545454546,9.84848484848485,23.052583313977443,12.29198628856109,27.44181818181818,12.018977332630467,0.7656659852267581,0,7,40.10672744506746,29.80558511461893,40.10672744506746,mandante,4.8966666666666665,0.0,0,3.25,7.166666666666668,3.25,0,0,0.3333333333333333
1126,11,42500,Fagner,Corinthians,LAT,7.429999999999999,7.1,1.11,9.090909090909092,0.0,40.15913146616899,12.804251800826602,3.666363636363636,7.952017026216503,0.5131995065389164,0,7,43.9402014776439,21.018789127574593,21.018789127574593,visitante,0.0,2.53,0,4.8,4.199999999999998,4.8,0,0,0.3333333333333333
1155,11,105584,Lucas Piton,Vasco,LAT,6.13,0.6,0.01,16.928181818181816,0.0,29.26600849167069,12.29198628856109,3.968181818181818,5.165596700820545,0.33581656810984256,0,0,39.426823352320774,29.80558511461893,39.426823352320774,mandante,2.385,0.0,0,2.966666666666667,1.6999999999999995,2.966666666666667,0,0,0.3333333333333333
2314,11,106323,Caio Alexandre,Fortaleza,MEI,8.77,5.4,0.42,17.355454545454545,3.03030303030303,44.43913443905637,12.29198628856109,5.779090909090908,6.325379728598674,0.5558603664732221,0,7,36.85423779518858,29.80558511461893,36.85423779518858,mandante,2.9883333333333333,0.0,0,2.033333333333333,4.025,2.033333333333333,0,0,0.3333333333333333
2531,11,85931,Hyoran,Atlético-MG,MEI,6.74,-1.6,-1.04,18.181818181818183,3.333333333333333,28.033197297698713,12.29198628856109,14.490909090909092,5.545367216836958,0.6938005839454292,0,9,43.9402014776439,26.625682566200446,26.625682566200446,visitante,0.0,5.333333333333333,0,5.35,5.15,5.35,0,0,0.3333333333333333
1768,11,91908,Pavón,Atlético-MG,ATA,8.31,4.7,0.43,25.11,6.8181818181818175,37.36782352737098,12.29198628856109,11.908181818181818,8.368992518848428,0.8702925768668325,0,9,43.9402014776439,26.625682566200446,26.625682566200446,visitante,0.0,6.33,0,7.633333333333334,8.6,7.633333333333334,0,0,0.3333333333333333
1171,11,97468,Marçal,Botafogo,LAT,10.84,0.0,0.0,0.0,0.0,38.60260556181975,13.068917690492492,2.272727272727273,4.1209820425085555,0.29285449623435683,0,12,43.9402014776439,30.87222387856857,30.87222387856857,visitante,0.0,3.65,0,7.6,8.0,7.6,0,0,0.3333333333333333
1152,11,99213,Puma Rodríguez,Vasco,LAT,6.6400000000000015,1.0,-0.23,0.0,0.0,39.492822086557396,12.29198628856109,11.485454545454544,7.780281450618597,0.5690044627587585,0,0,39.426823352320774,29.80558511461893,39.426823352320774,mandante,2.925,0.0,0,2.9333333333333336,5.2,2.9333333333333336,0,0,0.3333333333333333
2311,11,104502,Christian,Athletico-PR,MEI,10.3,6.0,-0.15,27.272727272727273,6.8181818181818175,35.15819717660146,12.29198628856109,7.9845454545454535,7.546941064148999,0.6108681842207516,0,4,53.332712157274436,29.80558511461893,53.332712157274436,mandante,4.426666666666666,0.0,0,2.8666666666666667,8.633333333333333,2.8666666666666667,0,0,0.3333333333333333
744,11,85083,Vinicius Silvestre,Palmeiras,GOL,3.0,0.0,0.0,0.0,0.0,28.44770242487849,12.29198628856109,0.0,0.0,0.0,0,8,38.647906909512905,29.80558511461893,38.647906909512905,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.3333333333333333
2309,11,111769,Marlon Gomes,Vasco,MEI,3.5900000000000003,6.1,1.06,0.0,0.0,27.58207559576282,12.29198628856109,1.348181818181818,2.848518345308448,0.2905072241835242,0,0,39.426823352320774,29.80558511461893,39.426823352320774,mandante,3.1916666666666664,0.0,0,6.1,0.5,6.1,0,0,0.3333333333333333
1819,11,101290,Ferreira,Grêmio,ATA,10.0,0.0,0.0,0.0,0.0,28.44770242487849,12.29198628856109,0.0,0.0,0.0,0,12,77.7399287162537,29.80558511461893,77.7399287162537,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.3333333333333333
1140,11,38229,Fábio Santos,Corinthians,LAT,3.0000000000000004,5.0,1.15,0.0,0.0,29.687224679581014,12.544511541086342,2.272727272727273,1.6252297571829353,0.20102096436025896,0,7,43.9402014776439,21.018789127574593,21.018789127574593,visitante,0.0,1.675,0,0.0,0.0,0.0,0,0,0.3333333333333333
2302,11,82455,Zé Rafael,Palmeiras,MEI,10.52,8.6,0.43,9.090909090909092,0.0,40.305958140257104,12.29198628856109,6.106363636363636,5.818086086613138,0.38350998063116815,0,8,38.647906909512905,29.80558511461893,38.647906909512905,mandante,2.75,0.0,0,0.8500000000000001,4.925,0.8500000000000001,0,0,0.3333333333333333
1897,11,117314,Thiago Borbas,Bragantino,ATA,5.97,0.0,0.0,34.71090909090909,10.757575757575758,23.36753652389564,12.29198628856109,10.371818181818183,5.174644243208278,0.6416683464821935,0,10,71.5607385166278,29.80558511461893,71.5607385166278,mandante,3.6416666666666666,0.0,0,2.766666666666667,4.55,2.766666666666667,0,0,0.3333333333333333
1122,11,72532,Maguinho,Goiás,LAT,3.01,10.3,1.67,18.181818181818183,3.787878787878788,24.58720118049334,12.544511541086342,10.782727272727273,5.861642033583532,1.3655194807042774,0,5,43.9402014776439,11.228664021247756,11.228664021247756,visitante,0.0,4.449999999999998,0,4.75,5.6,4.75,0,0,0.3333333333333333
749,11,88916,Luan Polli,Coritiba,GOL,3.54,0.0,0.0,0.0,0.0,28.44770242487849,15.555389551964351,0.0,0.7431786813886825,0.07954545454545454,0,2,43.9402014776439,8.122911163715262,8.122911163715262,visitante,0.0,2.583333333333333,0,3.5,0.0,3.5,0,0,0.3333333333333333
1186,11,122300,Ryan,Bahia,LAT,3.47,0.0,0.0,16.422727272727272,0.0,31.019350918986877,12.537686534261336,0.4545454545454545,3.19494106740829,0.7780235727475987,0,6,43.9402014776439,10.51178406615634,10.51178406615634,visitante,0.0,1.9,0,4.833333333333333,2.4,4.833333333333333,0,0,0.3333333333333333
