,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1701,Michel Araújo,107173,São Paulo,MEI,1.9714285714285715,3.7499999999999996,Atlético-MG,mandante,4.388888888888889,3.1801587301587304
1702,Jhonny Lucas,99994,Goiás,MEI,0.8,-1.6,Fortaleza,mandante,5.5,3.15
1703,Barros,122485,Vasco,MEI,2.15,1.9749999999999999,Grêmio,mandante,4.142857142857143,3.1464285714285714
1704,João Magno,108715,Goiás,ATA,0.75,7.45,Fortaleza,mandante,5.5,3.125
1705,Ademir,101314,Bahia,ATA,3.371428571428571,2.725,América-MG,mandante,2.875,3.1232142857142855
1706,Wellington Rato,82766,São Paulo,MEI,1.8428571428571432,2.15,Atlético-MG,mandante,4.388888888888889,3.1158730158730163
1707,Willian Farias,63058,Coritiba,MEI,2.35,2.6,Bragantino,mandante,3.875,3.1125
1708,Kuscevic,98619,Coritiba,ZAG,2.34,2.8000000000000003,Bragantino,mandante,3.875,3.1075
1709,Martinelli,109573,Fluminense,MEI,2.6166666666666667,2.125,Palmeiras,mandante,3.5555555555555554,3.0861111111111112
1710,Yony González,97080,Fluminense,ATA,2.6,0.0,Palmeiras,mandante,3.5555555555555554,3.0777777777777775
1711,Erison,108422,São Paulo,ATA,1.75,3.9,Atlético-MG,mandante,4.388888888888889,3.0694444444444446
1712,Rodrigo Fernández,99214,Santos,MEI,3.0999999999999996,0.9857142857142858,Athletico-PR,mandante,3.025,3.0625
1713,Orellano,110776,Vasco,MEI,1.975,3.08,Grêmio,mandante,4.142857142857143,3.058928571428572
1714,Matheus Bahia,97899,Bahia,LAT,3.233333333333333,4.766666666666667,América-MG,mandante,2.875,3.0541666666666663
1715,Pepa,123907,Cruzeiro,TEC,4.605555555555555,6.510000000000001,Botafogo,mandante,1.5,3.0527777777777776
1716,Manoel,69014,Fluminense,ZAG,2.5,1.7,Palmeiras,mandante,3.5555555555555554,3.0277777777777777
1717,Ivonei,105899,Santos,MEI,0.0,0.0,Athletico-PR,mandante,3.025,3.025
1718,Ed Carlos,118747,Santos,MEI,0.0,1.0,Athletico-PR,mandante,3.025,3.025
1719,Luiz Felipe,79035,Santos,ZAG,0.0,0.0,Athletico-PR,mandante,3.025,3.025
1720,Henrique,50856,Coritiba,ZAG,2.16,0.6333333333333333,Bragantino,mandante,3.875,3.0175
1721,Nathan,107676,Santos,LAT,3.0,5.25,Athletico-PR,mandante,3.025,3.0125
1722,Bruno Rodrigues,92811,Cruzeiro,ATA,4.499999999999999,7.800000000000002,Botafogo,mandante,1.5,2.9999999999999996
1723,Dodô,68727,Santos,LAT,2.9,1.6666666666666667,Athletico-PR,mandante,3.025,2.9625
1724,David Duarte,91772,Bahia,ZAG,3.04,3.4000000000000004,América-MG,mandante,2.875,2.9575
1725,Reynaldo,97768,Cruzeiro,ZAG,4.4,5.0,Botafogo,mandante,1.5,2.95
