,atleta_id,apelido,clube_id,xG,clube
248,107375,Dodô,290,0.4979920726721474,Goiás
249,96966,Arthur Gomes,283,0.4948735786342301,Cruzeiro
250,90309,David,276,0.4940484058414031,São Paulo
251,110776,Orellano,267,0.4915346680709659,Vasco
252,107110,Natan,280,0.48876296497183147,Bragantino
253,105547,Rikelme,1371,0.482962855100061,Cuiabá
254,61106,Cicinho,265,0.47467338093668143,Bahia
255,112136,Lucas Beraldo,276,0.4740772386608957,São Paulo
256,73620,Bruno Alves,284,0.4718956234568825,Grêmio
257,100103,Pedrinho,327,0.4670447055266676,América-MG
258,116034,Victor Hugo,262,0.4584034173416598,Flamengo
259,101027,Diego,290,0.4496351626828167,Goiás
260,38402,Marcelo,266,0.4489136627323788,Fluminense
261,78855,Thiago Santos,266,0.4391733139216809,Fluminense
262,111682,Adson,264,0.43807655140010165,Corinthians
263,115671,Mila,284,0.43497481238996705,Grêmio
264,86859,José Welison,356,0.43382828773789295,Fortaleza
265,78077,Madson,293,0.43283530808191556,Athletico-PR
266,104783,Acevedo,265,0.4243027425786628,Bahia
267,78445,Renê,285,0.4184943566133973,Internacional
268,107498,André,266,0.4159992379887001,Fluminense
269,107174,Bruno Tabata,275,0.4156622106982235,Palmeiras
270,97468,Marçal,263,0.4082466960277007,Botafogo
271,98484,Kanu,265,0.40786261825377,Bahia
272,98433,Sebastián Ferreira,267,0.4039541450974662,Vasco
273,83817,Clayson,1371,0.4035369262207596,Cuiabá
274,123713,Luis Guilherme,275,0.40076167370209337,Palmeiras
275,50856,Henrique,294,0.3997915774956187,Coritiba
276,101594,Hugo Moura,293,0.39942015033895045,Athletico-PR
277,69102,Vargas,282,0.3987659216750958,Atlético-MG
278,101201,Vitor Jacaré,265,0.39040108860033085,Bahia
279,101725,Matheusinho,290,0.38358145296409935,Goiás
280,72775,Fernandinho,293,0.3832306947977391,Athletico-PR
281,115248,Jhon Jhon,275,0.38294201008205053,Palmeiras
282,104385,Igor Gomes,285,0.3820540973027211,Internacional
283,123153,Zinho,284,0.381556849111225,Grêmio
284,105845,Matheus Araújo,264,0.3787443205393758,Corinthians
285,100969,Ronald Lopes,1371,0.37861756147303943,Cuiabá
286,68773,Henrique Almeida,327,0.3768237850149314,América-MG
287,91772,David Duarte,265,0.3753062352181835,Bahia
288,111309,Gustavo Martins,284,0.3741503624235031,Grêmio
289,90768,Fabrício Bruno,262,0.3723423527375722,Flamengo
290,89883,Dodi,277,0.369591477128216,Santos
291,106704,Carlos Alberto,263,0.36517081244691907,Botafogo
292,93787,Andrey,294,0.3561638746687308,Coritiba
293,101715,Alerrandro,280,0.3542117224803514,Bragantino
294,69022,Marcelo Cirino,293,0.3515486358981902,Athletico-PR
295,38545,Felipe Melo,266,0.3474800973158743,Fluminense
296,69189,Sidimar,290,0.34630438408503905,Goiás
297,112370,Emerson Negueba,1371,0.34608992963022944,Cuiabá
298,71898,Gabriel Pires,263,0.3453048304715052,Botafogo
299,82463,Otávio,282,0.3452777223174095,Atlético-MG
300,103347,Matheus Alexandre,1371,0.34412647304817295,Cuiabá
301,86410,Victor Luis,294,0.3408140915626431,Coritiba
302,118844,Kaio César,294,0.3368569793730197,Coritiba
303,85993,Gustavo Sauer,263,0.33532429780710654,Botafogo
304,63024,Fransérgio,294,0.33073885708236767,Coritiba
305,70172,Fábio,284,0.3277764903509678,Grêmio
306,68942,Luciano Castán,283,0.32748143408892566,Cruzeiro
307,86864,Marlon,327,0.32557693732131426,América-MG
308,103695,Jadsom Silva,280,0.3245413694875062,Bragantino
309,91473,Erick Pulgar,262,0.3190683899891492,Flamengo
310,118774,Alexsander,266,0.31904754490902093,Fluminense
311,72951,Mercado,285,0.31828456856592113,Internacional
312,111017,Leo Fernández,266,0.3158951026499525,Fluminense
313,97080,Yony González,266,0.3158837261500115,Fluminense
314,115502,Ceballos,356,0.3131638339084005,Fortaleza
315,108422,Erison,276,0.3123644079151532,São Paulo
316,69034,Paulinho,264,0.3119078592370376,Corinthians
317,97321,Alesson,290,0.3085114673637538,Goiás
318,80583,Lucas Lima,277,0.305301062616229,Santos
319,101720,Miranda,267,0.30164428239350166,Vasco
320,105175,Khellven,293,0.2959422503974473,Athletico-PR
321,89273,João Pedro,284,0.28887092064356,Grêmio
322,96725,Saravia,282,0.28442952853587783,Atlético-MG
323,94514,Oliveira,283,0.28342166014992115,Cruzeiro
324,105373,Gabriel Xavier,265,0.2785937984321648,Bahia
325,108624,Arriagada,293,0.2784130723993601,Athletico-PR
326,86777,Danilo Barbosa,263,0.27122079193730037,Botafogo
327,38394,Thiago Heleno,293,0.2705367139406253,Athletico-PR
328,100848,Luan Cândido,280,0.27013685958182676,Bragantino
329,50353,Titi,356,0.2683350058117071,Fortaleza
330,91190,PK,1371,0.26148989953206925,Cuiabá
331,97653,Murilo,275,0.25466657121407366,Palmeiras
332,68952,Marinho,262,0.25288899665737735,Flamengo
333,122485,Barros,267,0.24901196408411236,Vasco
334,71829,Júnior Urso,294,0.24755434849059854,Coritiba
335,104153,Ruan,264,0.24705445008133692,Corinthians
336,111819,Thomas Luciano,284,0.24649752778925144,Grêmio
337,69325,Aránguiz,285,0.2462984356551577,Internacional
338,103576,Rafael Bilu,283,0.24538691039456748,Cruzeiro
339,114374,Lucas Pires,277,0.24404547228833823,Santos
340,125992,Diogo Oliveira,294,0.24368578454972273,Coritiba
341,104521,Vinícius Zanocelo,356,0.24243732154303554,Fortaleza
342,110021,Jhoanner Chávez,265,0.23905504424376411,Bahia
343,83786,Neris,283,0.2346257911573617,Cruzeiro
344,104257,João Lucas,277,0.23359036509630904,Santos
345,98723,Carabajal,267,0.233145269777291,Vasco
346,109114,Matheus Nascimento,263,0.23191079017923558,Botafogo
347,111879,Mateusinho,1371,0.2287833811383838,Cuiabá
348,52827,David Luiz,262,0.22494182303871701,Flamengo
349,63058,Willian Farias,294,0.22435501729426324,Coritiba
350,103684,Kaíque Rocha,293,0.2240986755503957,Athletico-PR
351,101579,Robson Bambu,267,0.22374395780690376,Vasco
352,125050,Robert,283,0.2236966760605807,Cruzeiro
353,101728,Diego Costa,276,0.22368521888085263,São Paulo
354,90120,Edu,294,0.21794629255078568,Coritiba
355,113384,Diogo Batista,294,0.21618086457923194,Coritiba
356,109404,Thiago Andrade,293,0.2156908409522076,Athletico-PR
357,63289,Edenílson,282,0.21424331800377877,Atlético-MG
358,93702,Gabriel Inocêncio,277,0.20762860043763232,Santos
359,49675,Alexandre Pato,276,0.20753708767184045,São Paulo
360,121821,Murillo,264,0.2042163284833085,Corinthians
361,38144,Rafinha,276,0.20164051845086353,São Paulo
362,101684,Philippe Costa,290,0.1988512449745996,Goiás
363,99440,Baralhas,285,0.19457668471759315,Internacional
364,95794,Nathan Silva,282,0.18990181683870988,Atlético-MG
365,115061,Thauan Lara,285,0.18815799402012434,Internacional
366,118752,Mateus Carvalho,267,0.18760441190974098,Vasco
367,103700,Bruno Méndez,264,0.18718023819871543,Corinthians
368,126182,Paulinho,267,0.18654754046612426,Vasco
369,87808,Philipe Sampaio,263,0.18597599354307326,Botafogo
370,82627,Luiz Araújo,262,0.18584387799357904,Flamengo
371,92291,Bruno Viana,294,0.1856142772988127,Coritiba
372,50317,David Braz,266,0.18311151428073116,Fluminense
373,117909,Wesley,264,0.18215250203348204,Corinthians
374,91203,Éder,327,0.18032925081978898,América-MG
375,91866,Zé Ivaldo,293,0.17999523139600038,Athletico-PR
376,42500,Fagner,264,0.17883369183284972,Corinthians
377,93797,Marcinho,327,0.17757300923688782,América-MG
378,99994,Jhonny Lucas,290,0.17313637975221707,Goiás
379,81150,Mayke,275,0.1729820762649407,Palmeiras
380,86143,Wanderson,327,0.16815262676430276,América-MG
381,103575,Caetano,264,0.1666325004099301,Corinthians
382,106835,Luan Patrick,280,0.16324482286612452,Bragantino
383,88597,Lucas Crispim,356,0.16265610770947914,Fortaleza
384,87747,Yago Felipe,265,0.16243261914133916,Bahia
385,124757,Nathan Fernandes,284,0.16012119282438075,Grêmio
386,126216,Derik Lacerda,1371,0.15992859153211336,Cuiabá
387,111759,Giovani,275,0.15912461224347657,Palmeiras
388,113157,Nathan Mendes,276,0.1581670294555292,São Paulo
389,87391,Allano,290,0.15726810770228247,Goiás
390,85626,Léo,267,0.15658896179405649,Vasco
391,38877,Mariano,282,0.1554757240990822,Atlético-MG
392,70986,Léo Cittadini,293,0.15543982738552967,Athletico-PR
393,95638,Marcelo Benevenuto,356,0.15183852069792902,Fortaleza
394,125471,Serginho,267,0.1509337574906923,Vasco
395,107796,Diego Rosa,265,0.15058514423493088,Bahia
396,112886,Lucas Barbosa,294,0.1494044315052419,Coritiba
397,118708,Eguinaldo,267,0.14691899977128564,Vasco
398,121796,Jean Pedroso,294,0.14308459779769056,Coritiba
399,98706,Pedrinho,282,0.14133791441208832,Atlético-MG
400,108131,Garcez,294,0.14005243340860252,Coritiba
401,124340,Allyson,1371,0.13769775192365588,Cuiabá
402,87228,Guilherme Arana,282,0.13633819534328467,Atlético-MG
403,94444,Matheus Babi,290,0.13531367315512363,Goiás
404,101319,Guga,266,0.13410979053298816,Fluminense
405,90290,Jailson,275,0.12925416831430286,Palmeiras
406,62969,Alan,266,0.12919231163088096,Fluminense
407,90232,Raí Ramos,276,0.1288785452890575,São Paulo
408,51548,Giuliano,264,0.12808371551292597,Corinthians
409,103014,Laquintana,280,0.12760132972134505,Bragantino
410,38398,Renato Augusto,264,0.12408585480772885,Corinthians
411,88423,Aderlan,280,0.1228537162315475,Bragantino
412,110715,Andrés Hurtado,280,0.12279227160491343,Bragantino
413,107236,Vanderlan,275,0.11714470414896049,Palmeiras
414,107225,Gustavo Garcia,275,0.11632423898311875,Palmeiras
415,112886,Lucas Barbosa,277,0.1162749357476835,Santos
416,63354,Rodrigo Moledo,285,0.1138388275984111,Internacional
417,122668,Bruno Santos,290,0.11338570919691321,Goiás
418,122394,Gustavinho,280,0.11245687014131964,Bragantino
419,118238,Ronald,284,0.11221848266707524,Grêmio
420,105672,Nicolás Hernández,285,0.10967399958764738,Internacional
421,116672,Daniel Ruiz,277,0.10825975765069733,Santos
422,118563,Rodriguinho,276,0.10740113634588884,São Paulo
423,105902,Zé Gabriel,267,0.10659184744590075,Vasco
424,107197,Rômulo,293,0.10609544962523841,Athletico-PR
425,122300,Ryan,265,0.10426685591690278,Bahia
426,105585,Roni,264,0.10216073012000193,Corinthians
427,69375,Vidal,293,0.10042298008801817,Athletico-PR
428,116432,Daniel Junior,283,0.09873689620503434,Cruzeiro
429,98976,Gabriel,276,0.0979023496212391,São Paulo
430,38750,Filipe Luís,262,0.0973210649530663,Flamengo
431,109668,Hugo,263,0.09707148314418926,Botafogo
432,102310,Matheus Felipe,293,0.09555952994777964,Athletico-PR
433,79268,Filipe Augusto,1371,0.09524798773844607,Cuiabá
434,112913,Capasso,267,0.09043467369482941,Vasco
435,72497,Gustavo Campanharo,285,0.09020101128288921,Internacional
436,107726,Chrystian Barletta,264,0.0894674908049237,Corinthians
437,121830,Janderson,263,0.08767857560306398,Botafogo
438,71227,Maicon,277,0.08713728821766732,Santos
439,38229,Fábio Santos,264,0.08366530619759867,Corinthians
440,104401,Vitor Mendes,266,0.07962359760257673,Fluminense
441,111769,Marlon Gomes,267,0.07921202972899685,Vasco
