,apelido,atleta_id,clube,posicao,media_casa,media_fora
274,Marlon,91706,Cruzeiro,LAT,6.625,13.733333333333334
275,Marlon Freitas,93790,Botafogo,MEI,2.0599999999999996,2.15
276,Martinelli,109573,Fluminense,MEI,2.1,1.9666666666666668
277,Marçal,97468,Botafogo,LAT,7.6000000000000005,8.0
278,Mastriani,102561,América-MG,ATA,2.1,0.5
279,Mateus Carvalho,118752,Vasco,MEI,2.6,1.95
280,Mateus Gonçalves,103076,América-MG,ATA,0.35,0.5
281,Mateus Henrique,115997,América-MG,MEI,1.6,0.0
282,Mateus Pasinato,87603,América-MG,GOL,3.5,4.25
283,Mateus Vital,93108,Cruzeiro,MEI,3.3000000000000003,1.25
284,Matheus Alexandre,103347,Cuiabá,LAT,3.6500000000000004,6.660000000000001
285,Matheus Araújo,105845,Corinthians,MEI,1.1,2.6
286,Matheus Bahia,97899,Bahia,LAT,0.75,0.0
287,Matheus Bianqui,104640,Coritiba,MEI,1.2,-0.16666666666666666
288,Matheus Bidu,105531,Corinthians,LAT,3.85,3.5
289,Matheus Cavichioli,72580,América-MG,GOL,0.35,0.0
290,Matheus Cunha,111690,Flamengo,GOL,9.5,1.3333333333333333
291,Matheus Dias,107809,Internacional,MEI,-0.4,1.05
292,Matheus Fernandes,94067,Bragantino,MEI,3.3666666666666667,7.933333333333333
293,Matheus França,115100,Flamengo,MEI,2.9000000000000004,4.733333333333333
294,Matheus Gonçalves,116012,Flamengo,MEI,0.75,0.0
295,Matheus Jussa,91689,Cruzeiro,MEI,0.0,-0.35
296,Matheus Nascimento,109114,Botafogo,ATA,4.6499999999999995,0.0
297,Matheus Peixoto,87098,Goiás,ATA,7.3,4.066666666666666
298,Matheusinho,101725,Goiás,MEI,-0.1,0.0
299,Mauricio Lemos,87853,Atlético-MG,ZAG,2.2,1.4666666666666668
300,Maurício Barbieri,82792,Vasco,TEC,3.63,3.46
301,Maurício Kozlinski,72595,Fortaleza,GOL,6.0,0.0
302,Maycon,94154,Corinthians,MEI,2.266666666666667,1.7666666666666668
303,Mayke,81150,Palmeiras,LAT,8.333333333333334,4.75
304,Mendoza,90031,Santos,ATA,8.5,2.65
305,Messias,87402,Santos,ZAG,4.133333333333334,4.074999999999999
306,Michel Araújo,107173,São Paulo,MEI,1.1,4.8999999999999995
307,Mikael,102299,América-MG,ATA,2.75,0.5
308,Mila,115671,Grêmio,MEI,0.16666666666666666,2.2
309,Miranda,101720,Vasco,ZAG,6.5,0.8
310,Moisés,104666,Fortaleza,ATA,2.7,1.0
311,Morelli,99412,Goiás,MEI,6.05,4.8
312,Murillo,121821,Corinthians,ZAG,2.75,1.5666666666666667
313,Natan,107110,Bragantino,ZAG,0.9,-0.09999999999999999
314,Natanael,107554,Coritiba,LAT,4.966666666666667,2.3666666666666667
315,Nathan,87009,Grêmio,MEI,0.7,0.85
316,Nathan,107676,Santos,LAT,1.8,4.2
317,Nathan Silva,95794,Atlético-MG,ZAG,3.3,4.8
318,Neris,83786,Cruzeiro,ZAG,0.0,0.0
319,Neto Moura,87742,Cruzeiro,MEI,0.22500000000000003,2.1
320,Nicolas,95127,América-MG,LAT,0.0,-0.6
321,Nicolás Hernández,105672,Internacional,ZAG,3.35,1.5333333333333334
322,Nikão,69705,Cruzeiro,MEI,0.1,0.0
323,Nino,91708,Fluminense,ZAG,6.8,2.4
324,Nino Paraíba,68808,América-MG,LAT,-0.3,0.0
325,Odair Hellmann,92273,Santos,TEC,6.773333333333333,5.41
326,Oliveira,94514,Cruzeiro,ZAG,1.7000000000000002,3.433333333333333
327,Orellano,110776,Vasco,MEI,1.65,1.0999999999999999
328,PK,91190,Cuiabá,LAT,1.2,5.0
329,Pablo,69138,Athletico-PR,ATA,6.633333333333333,2.7
330,Pablo Maia,113359,São Paulo,MEI,6.05,0.8333333333333334
331,Patrick,83433,Atlético-MG,MEI,2.5333333333333337,2.225
332,Paulinho,69034,Corinthians,MEI,1.2,3.8
333,Paulinho,99818,Atlético-MG,ATA,8.700000000000001,4.6000000000000005
334,Paulo Henrique,93716,Vasco,LAT,0.0,2.1
335,Paulo Turra,82747,Athletico-PR,TEC,6.49,5.383333333333334
336,Pavón,91908,Atlético-MG,ATA,7.633333333333334,7.966666666666668
337,Pedrinho,110995,Athletico-PR,LAT,3.8,0.0
338,Pedrinho,118304,Goiás,ATA,-0.3,0.0
339,Pedro,94583,Flamengo,ATA,4.475,9.7
340,Pedro,123022,Corinthians,ATA,0.75,2.2
341,Pedro Caixinha,117711,Bragantino,TEC,7.396666666666667,3.9875
342,Pedro Henrique,72583,Internacional,ATA,3.8000000000000003,3.5666666666666664
343,Pedro Henrique,87225,Athletico-PR,ZAG,3.4749999999999996,4.5
344,Pedro Raul,98225,Vasco,ATA,5.45,2.1750000000000003
345,Pepa,123907,Cruzeiro,TEC,3.615,7.003333333333334
346,Pepê,101573,Grêmio,MEI,10.5,0.0
347,Philipe Sampaio,87808,Botafogo,ZAG,4.95,0.0
348,Philippe Costa,101684,Goiás,ATA,0.0,-0.1
349,Piquerez,102130,Palmeiras,LAT,5.6,9.799999999999999
350,Pochettino,99267,Fortaleza,MEI,1.7,3.95
351,Puma Rodríguez,99213,Vasco,LAT,3.9,4.775
352,Quagliata,111949,Cuiabá,ATA,1.1,0.35
353,Rafael,68928,São Paulo,GOL,3.125,4.333333333333333
354,Rafael,70171,Botafogo,LAT,6.9,2.6
355,Rafael Bilu,103576,Cruzeiro,ATA,0.8,0.0
356,Rafael Cabral,68940,Cruzeiro,GOL,0.75,2.733333333333333
357,Rafinha,38144,São Paulo,LAT,3.625,5.8
358,Ramiro,78715,Cruzeiro,MEI,3.9000000000000004,4.2
359,Raniele,95556,Cuiabá,MEI,4.7,3.8000000000000003
360,Raphael Veiga,94509,Palmeiras,MEI,16.650000000000002,3.8750000000000004
361,Raí,116048,Botafogo,MEI,0.0,0.0
362,Realpe,106299,Bragantino,ZAG,5.300000000000001,0.5666666666666668
363,Reinaldo,78850,Grêmio,LAT,3.9,2.5500000000000003
364,Renato Augusto,38398,Corinthians,MEI,1.9,0.7
365,Renato Gaúcho,41929,Grêmio,TEC,6.0175,3.7300000000000004
366,Renato Marques,117403,América-MG,ATA,3.4000000000000004,-0.29999999999999993
367,Renato Paiva,110818,Bahia,TEC,5.130000000000001,3.516666666666666
368,Renê,78445,Internacional,LAT,3.566666666666667,3.95
369,Rezende,90449,Bahia,MEI,4.766666666666667,3.95
370,Ricardo Silva,79334,América-MG,ZAG,0.95,2.4
