,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1189,Jhon Jhon,115248,Palmeiras,MEI,0.09999999999999998,0.0,Goiás,visitante,1.0,1.0
1190,Raphael Veiga,94509,Palmeiras,MEI,15.1,0.0,Goiás,visitante,1.0,1.0
1191,Mayke,81150,Palmeiras,LAT,-2.5,0.0,Goiás,visitante,1.0,1.0
1192,Vanderlan,107236,Palmeiras,LAT,7.0,0.0,Goiás,visitante,1.0,1.0
1193,Marcos Rocha,63013,Palmeiras,LAT,4.7,0.0,Goiás,visitante,1.0,1.0
1194,Breno Lopes,93988,Palmeiras,ATA,0.5,0.0,Goiás,visitante,1.0,1.0
1195,Rony,91607,Palmeiras,ATA,0.0,0.0,Goiás,visitante,1.0,1.0
1196,Giovani,111759,Palmeiras,ATA,0.8,0.0,Goiás,visitante,1.0,1.0
1197,Puma Rodríguez,99213,Vasco,LAT,4.1,0.5,Fluminense,visitante,1.5,1.0
1198,Patrick,83433,Atlético-MG,MEI,1.45,2.9,Botafogo,visitante,-1.0,0.95
1199,Alex Teixeira,60793,Vasco,MEI,4.7,0.4,Fluminense,visitante,1.5,0.95
1200,Endrick,115959,Palmeiras,ATA,7.5,0.7,Goiás,visitante,1.0,0.85
1201,Carlos de Pena,87242,Internacional,MEI,4.3500000000000005,0.8,São Paulo,visitante,0.0,0.8
1202,Luis Guilherme,123713,Palmeiras,MEI,1.6,0.5,Goiás,visitante,1.0,0.75
1203,Marinho,68952,Flamengo,ATA,1.0999999999999999,0.5,Athletico-PR,visitante,0.0,0.5
1204,Otávio,82463,Atlético-MG,MEI,1.65,2.0,Botafogo,visitante,-1.0,0.5
1205,Lucca,122420,Internacional,ATA,1.2,0.5,São Paulo,visitante,0.0,0.5
1206,Jean Dias,73479,Internacional,ATA,3.45,0.4,São Paulo,visitante,0.0,0.4
1207,Hyoran,85931,Atlético-MG,MEI,1.8,1.7,Botafogo,visitante,-1.0,0.35
1208,Léo,85626,Vasco,ZAG,0.5,-0.9,Fluminense,visitante,1.5,0.3
1209,Pavón,91908,Atlético-MG,ATA,2.4000000000000004,1.2,Botafogo,visitante,-1.0,0.09999999999999998
1210,Weverton,71631,Palmeiras,GOL,1.5,-1.0,Goiás,visitante,1.0,0.0
1211,Everton,86757,Flamengo,ATA,2.85,-0.2,Athletico-PR,visitante,0.0,-0.2
1212,Pedro Henrique,72583,Internacional,ATA,2.7,-0.2,São Paulo,visitante,0.0,-0.2
1213,Murilo,97653,Palmeiras,ZAG,6.6,-1.9,Goiás,visitante,1.0,-0.44999999999999996
1214,Isaac,124247,Atlético-MG,ATA,-0.3,0.0,Botafogo,visitante,-1.0,-1.0
1215,Réver,52253,Atlético-MG,ZAG,-1.0,0.0,Botafogo,visitante,-1.0,-1.0
1216,Pedrinho,98706,Atlético-MG,MEI,0.0,0.0,Botafogo,visitante,-1.0,-1.0
1217,Battaglia,94845,Atlético-MG,MEI,0.9,0.0,Botafogo,visitante,-1.0,-1.0
1218,Maurício,105647,Internacional,MEI,10.049999999999999,0.0,São Paulo,visitante,0.0,
1219,Gustavo Campanharo,72497,Internacional,MEI,7.4,0.0,São Paulo,visitante,0.0,
1220,Matheus Dias,107809,Internacional,MEI,2.1,0.0,São Paulo,visitante,0.0,
1221,Mercado,72951,Internacional,ZAG,4.5,0.0,São Paulo,visitante,0.0,
1222,Bustos,96678,Internacional,LAT,7.1,0.0,São Paulo,visitante,0.0,
1223,Keiller,93834,Internacional,GOL,2.0,0.0,São Paulo,visitante,0.0,
1224,Luiz Adriano,72772,Internacional,ATA,1.15,0.0,São Paulo,visitante,0.0,
1225,Santos,69012,Flamengo,GOL,4.25,0.0,Athletico-PR,visitante,0.0,
1226,David Luiz,52827,Flamengo,ZAG,1.6,0.0,Athletico-PR,visitante,0.0,
1227,Victor Hugo,116034,Flamengo,MEI,3.25,0.0,Athletico-PR,visitante,0.0,
1228,Bruno Henrique,90285,Flamengo,ATA,1.05,0.0,Athletico-PR,visitante,0.0,
1229,Igor Jesus,116013,Flamengo,MEI,1.9,0.0,Athletico-PR,visitante,0.0,
