,apelido,atleta_id,clube,posicao,media_casa,media_fora
272,Madson,78077,Athletico-PR,LAT,3.0,1.3666666666666665
273,Maguinho,72532,Goiás,LAT,2.8,0.75
274,Maicon,71227,Santos,ZAG,8.6,0.0
275,Mano Menezes,37281,Internacional,TEC,5.256666666666667,3.9624999999999995
276,Manoel,69014,Fluminense,ZAG,5.0,1.8666666666666665
277,Marcelino Moreno,88857,Coritiba,MEI,2.4,4.35
278,Marcelo,38402,Fluminense,LAT,7.2,6.0
279,Marcelo Rangel,82730,Goiás,GOL,-1.0,2.0
280,Marcinho,93797,América-MG,LAT,1.1333333333333333,0.4
281,Marcos Felipe,85004,Bahia,GOL,0.75,5.5
282,Marcos Leonardo,109497,Santos,ATA,6.75,5.95
283,Marcos Paulo,103645,São Paulo,ATA,6.033333333333334,4.2250000000000005
284,Marcos Rocha,63013,Palmeiras,LAT,4.7,0.0
285,Marcos Vinícius,97969,Coritiba,LAT,-1.0,0.8500000000000001
286,Mariano,38877,Atlético-MG,LAT,2.966666666666667,2.6
287,Marinho,68952,Flamengo,ATA,1.0999999999999999,0.25
288,Marllon,70666,Cuiabá,ZAG,5.5,2.325
289,Marlon,86864,América-MG,LAT,1.2,5.45
290,Marlon,91706,Cruzeiro,LAT,7.15,14.1
291,Marlon Freitas,93790,Botafogo,MEI,2.6999999999999997,0.5666666666666667
292,Marlon Gomes,111769,Vasco,MEI,2.8499999999999996,0.5499999999999999
293,Marçal,97468,Botafogo,LAT,8.25,5.1
294,Mateus Gonçalves,103076,América-MG,ATA,0.35,0.0
295,Mateus Pasinato,87603,América-MG,GOL,3.0,7.5
296,Mateus Vital,93108,Cruzeiro,MEI,4.5,5.0
297,Mateusinho,111879,Cuiabá,LAT,9.649999999999999,2.066666666666667
298,Matheus Alexandre,103347,Cuiabá,LAT,2.45,5.25
299,Matheus Araújo,105845,Corinthians,MEI,4.366666666666667,2.6
300,Matheus Bahia,97899,Bahia,LAT,0.75,4.9
301,Matheus Bianqui,104640,Coritiba,MEI,1.2,0.05
302,Matheus Bidu,105531,Corinthians,LAT,2.9,4.65
303,Matheus Cavichioli,72580,América-MG,GOL,2.9,0.0
304,Matheus Cunha,111690,Flamengo,GOL,11.0,0.5
305,Matheus Dias,107809,Internacional,MEI,2.1,0.9
306,Matheus Fernandes,94067,Bragantino,MEI,6.15,7.233333333333333
307,Matheus França,115100,Flamengo,MEI,2.8666666666666667,6.033333333333334
308,Matheus Gonçalves,116012,Flamengo,MEI,0.75,0.0
309,Matheus Jussa,91689,Cruzeiro,MEI,-1.0,-0.15
310,Matheus Nascimento,109114,Botafogo,ATA,8.7,0.0
311,Matheus Peixoto,87098,Goiás,ATA,6.2,2.65
312,Matheusinho,93886,América-MG,MEI,0.5,4.2
313,Matheusinho,101725,Goiás,MEI,0.5,0.0
314,Mauricio Lemos,87853,Atlético-MG,ZAG,6.25,1.6333333333333335
315,Maurício,105647,Internacional,MEI,10.049999999999999,1.6333333333333335
316,Maurício Barbieri,82792,Vasco,TEC,3.526666666666667,4.485
