atleta_id,apelido,clube,posicao,status_pre,preco_open,pontos_num,variacao_num,ieo_gm_mean,iao_gm_mean,ied_gm_mean,ieg_gm_mean,ippc_gm_mean,iro_gm,irp_gm,adversário,ranking,fase,media_movel_mandante,media_movel_visitante,prob_vitoria_mandante,prob_vitoria_visitante,mando,XP_mandante,XP_visitante
108133,Pitta,Juventude,ATA,Provável,4.69,1.2,-0.4,9.444642857142856,5.089285714285714,21.309523667352348,12.787310136016886,0.7635484717192711,16.70925925925926,6.878787878787879,Athletico-PR,19,3,8.166666666666666,0.35000000000000003,,9.56214192316308,visitante,0.0,2.5031468531468537
97062,Índio Ramírez,América-MG,MEI,Nulo,4.74,1.2,-0.11,6.451785714285714,0.8928571428571429,25.732796459502044,12.787310136016886,0.17641334816263896,2.573571428571429,1.8685697561854162,Ceará,15,8,1.2,1.2,,24.356416867939874,visitante,0.0,2.881318681318681
116447,Hércules,Fortaleza,MEI,Provável,4.03,1.2,0.09,6.677142857142856,3.2738095238095233,32.229857491107175,12.787310136016886,0.5945042104413637,6.12037037037037,3.9496835142692364,Goiás,18,5,2.6,0.9666666666666667,,27.269393229625187,visitante,0.0,2.3269841269841267
89695,Iury Castilho,Ceará,ATA,Nulo,2.14,1.2,-0.09,3.5714285714285716,0.0,26.12558859798481,12.787310136016886,0.4884739035183001,1.9673076923076922,1.7962931042303616,América-MG,12,5,0.0,0.0,39.56617297126296,,mandante,4.920238095238096,0.0
104580,Sandry,Santos,MEI,Nulo,2.93,1.2,-0.05,3.5714285714285716,0.0,30.65340483470954,12.787310136016886,0.31726034354991434,1.121923076923077,2.1546748749519047,Internacional,10,4,1.2,0.8,,20.449451380663483,visitante,0.0,2.621538461538462
68685,Alan Patrick,Internacional,MEI,Provável,7.92,1.1,-0.66,16.215714285714284,3.724489795918367,28.11485037953498,12.787310136016886,0.352929954352968,7.066666666666667,4.244225586257272,Santos,4,9,1.25,5.400000000000001,49.84366813133783,,mandante,4.610576923076923,0.0
63289,Edenílson,Internacional,MEI,Provável,10.63,1.1,-0.23,22.537142857142857,6.3180272108843525,32.304451784888826,12.787310136016886,0.2872854321829145,9.032592592592593,5.610689907055236,Santos,4,9,4.066666666666667,0.43333333333333335,49.84366813133783,,mandante,5.233076923076922,0.0
50347,Alan Kardec,Atlético-MG,ATA,Nulo,7.3,1.1,-0.13,11.038,6.666666666666667,24.057598728953568,13.033964320845657,0.21420813719819273,5.084285714285714,2.940363676559996,Fluminense,5,5,1.4500000000000002,6.7,37.783243448863935,,mandante,1.9692307692307691,0.0
87402,Messias,Ceará,ZAG,Provável,3.94,1.1,-0.04,0.0,0.0,26.23901827947746,13.41405317039539,0.3164927804228452,2.765,3.1571212134957873,América-MG,12,5,1.8,0.7000000000000001,39.56617297126296,,mandante,4.121753246753247,0.0
101594,Hugo Moura,Athletico-PR,MEI,Provável,7.08,1.0,-0.5,3.5714285714285716,0.7142857142857143,37.05297816986551,12.787310136016886,0.34556270560934543,4.358148148148148,4.255611335232775,Juventude,6,6,3.25,1.0,70.97927330508253,,mandante,4.026428571428571,0.0
110607,Gabriel Pirani,Cuiabá,MEI,Nulo,2.39,1.0,0.04,3.5714285714285716,0.8928571428571429,26.508467938257485,12.787310136016886,0.27364318368782276,4.1364705882352935,2.5198050081124537,Corinthians,17,6,1.45,0.0,,15.3601156801295,visitante,0.0,1.7428571428571429
105208,Bento,Athletico-PR,GOL,Provável,8.17,1.0,-0.29,0.0,0.0,26.822142045664144,44.22080913460654,0.6127325948031344,0.0,7.359111310673257,Juventude,6,6,2.0,1.0,70.97927330508253,,mandante,4.730519480519481,0.0
101960,Vitinho,Athletico-PR,ATA,Provável,3.52,0.9,0.11,0.0,0.0,26.256406325790756,12.787310136016886,0.2568011720104285,8.199285714285713,1.923357334796103,Juventude,6,6,3.0,1.35,70.97927330508253,,mandante,3.6964285714285716,0.0
