"atleta_id","nome_txt","apelido_txt","preco_editorial_num","foto_txt"
37917,"Elano Blumer","Elano",20.00,"http://s.glbimg.com/es/sde/f/2010/12/07/264a04bb9ef29de01e0aa83e91c132e1_FORMATO.jpeg"
37919,"Luis Fabiano Clemente","Luis Fabiano",23.00,"http://s.glbimg.com/es/sde/f/2010/12/07/0de61a5947f2e3feeef8463cf5322a0e_FORMATO.jpeg"
37941,"Humberlito Borges Teixeira","Borges",12.00,"http://s.glbimg.com/es/sde/f/2010/11/19/c285ec1e93b5c87ef1aaa37e6bc191c5_FORMATO.jpeg"
37958,"Luiz Felipe Ventura dos Santos","Felipe",18.00,"http://s.glbimg.com/es/sde/f/2010/12/29/db502432b86e7f959bae9a41d6614924_FORMATO.jpeg"
37983,"Ricardo Renato da Conceição","Ricardo Conceição",5.00,NULL
37984,"Mário Lúcio Duarte Costa","Aranha",16.00,"http://s.glbimg.com/es/sde/f/2010/11/16/29edd57d71463b95027cabace9775785_FORMATO.jpeg"
38021,"Wendel Geraldo Maurício e Silva","Wendel",3.00,"http://s.glbimg.com/es/sde/f/2012/07/10/b1a91c65d03e21568a4e3ebd67475eaa_FORMATO.jpeg"
38026,"Kleber de Carvalho Correa Silva","Kleber",8.00,"http://s.glbimg.com/es/sde/f/2010/11/18/bd1b91d0c36ae65083eb9542e4b5483c_FORMATO.jpeg"
38032,"Cleber Santana Loureiro","Cleber Santana",7.00,"http://s.glbimg.com/es/sde/f/2010/11/16/d62b76339f9fc8004b8d395386badcf9_FORMATO.jpeg"
38038,"Luiz Silva Filho","Luiz",5.00,"http://s.glbimg.com/es/sde/f/2014/05/20/db1e563b71595cd097806a9dc89654de_FORMATO.jpeg"
38055,"Rogério Ceni","Rogério Ceni",20.00,"http://s.glbimg.com/es/sde/f/2010/11/16/26a2befe651824215d84a88996adb9d9_FORMATO.jpeg"
38061,"Edcarlos Conceição Santos","Edcarlos",3.00,"http://s.glbimg.com/es/sde/f/2010/11/17/4b4fa3d79a230adc743ff371534d7e64_FORMATO.jpeg"
38064,"Denilson Pereira Neves","Denilson",5.00,"http://s.glbimg.com/es/sde/f/2011/08/11/295ced2620291052d9ff5427c8d13b90_FORMATO.jpeg"
38067,"Danilo Gabriel de Andrade","Danilo",5.00,"http://s.glbimg.com/es/sde/f/2013/04/12/ac43527cf2ea70ce5bfd12a16c689912_FORMATO.jpeg"
38069,"Richarlyson Barbosa Felisbino","Richarlyson",4.00,"http://s.glbimg.com/es/sde/f/2010/11/16/9243d24ad7803da2b6fb00e11a6c8fa7_FORMATO.jpeg"
38074,"Ygor Maciel Santiago","Ygor",3.00,"http://s.glbimg.com/es/sde/f/2011/08/10/d10b8a1f53cb978c2f9efcfe79f1a759_FORMATO.jpeg"
38100,"Severino dos Ramos Durval da Silva","Durval",11.00,"http://s.glbimg.com/es/sde/f/2010/11/17/d9a033d330258e89eea60ea7054698f2_FORMATO.jpeg"
38108,"Jorge Henrique de Souza","Jorge Henrique",13.00,"http://s.glbimg.com/es/sde/f/2013/04/12/361c513decd49ca48bdcfcb25bd8ba21_FORMATO.jpeg"
38109,"Jefferson de Oliveira Galvão","Jefferson",22.00,"http://s.glbimg.com/es/sde/f/2014/06/11/0762fb0c7ff7d2f8e4e519f653c3bceb_FORMATO.jpeg"
38133,"Julio Cesar de Souza Santos","Julio Cesar",2.00,"http://s.glbimg.com/es/sde/f/2013/04/12/690d8deedc2dff67824e31a1c0e25255_FORMATO.jpeg"
38138,"João Alves de Assis Silva","Jô",23.00,"http://s.glbimg.com/es/sde/f/2014/06/11/66e3fce8820ca5f08202898a9e02857e_FORMATO.jpeg"
38140,"Fernando Buttenbender Prass","Fernando Prass",16.00,"http://s.glbimg.com/es/sde/f/2010/11/12/1e2f8daaca47444ba657136ad8167dbe_FORMATO.jpeg"
38162,"Frederico Chaves Guedes","Fred",25.00,"http://s.glbimg.com/es/sde/f/2014/06/11/558840826d114d32d4785adf70f69146_FORMATO.jpeg"
38184,"André Clarindo dos Santos","André Santos",12.00,"http://s.glbimg.com/es/sde/f/2011/10/03/0cfad87fc896d996e88a8023b25b3241_FORMATO.jpeg"
38194,"Antônio Carlos dos Santos Aguiar","Antônio Carlos",5.00,"http://s.glbimg.com/es/sde/f/2010/11/12/6ffc3b9069e94e5b71bd59d1374113cd_FORMATO.jpeg"
38196,"Maicon Thiago Pereira de Souza","Maicon",7.00,"http://s.glbimg.com/es/sde/f/2013/06/05/0fa6d997964e5c4252d026c2c50662cb_FORMATO.jpeg"
38219,"Alex Raphael Meschini","Alex",17.00,"http://s.glbimg.com/es/sde/f/2011/08/11/850cbd64fc12250f1fb75ef152b81008_FORMATO.jpeg"
38229,"Fábio Santos Romeu","Fábio Santos",9.00,"http://s.glbimg.com/es/sde/f/2013/04/12/fe510b8c4df86946e6f669befa9f2e41_FORMATO.jpeg"
38231,"Diego Tardelli Martins","Diego Tardelli",21.00,"http://s.glbimg.com/es/sde/f/2010/11/16/377fdce8bf9f93805e1494127f92bcb1_FORMATO.jpeg"
