"atleta_scout_id","rodada_id","atleta_id","scout_id","quantidade_num"
240,1,68958,8,3
242,1,68958,5,0
244,1,68958,17,0
245,1,68958,2,0
247,1,68958,13,0
248,1,68958,18,1
249,1,68958,14,0
251,1,68958,4,0
252,1,68958,15,0
253,1,68962,1,0
254,1,68962,13,0
255,1,68962,17,1
258,1,68962,16,0
260,1,68962,9,0
261,1,68962,14,0
262,1,68962,2,0
263,1,68962,8,1
264,1,68962,5,0
265,1,68962,18,0
266,1,68962,7,0
267,1,68962,3,0
269,1,68962,4,0
270,1,68962,15,0
271,1,69022,1,0
272,1,69022,17,0
273,1,69022,2,2
275,1,69022,13,0
276,1,69022,14,0
277,1,69022,18,0
279,1,69022,9,0
280,1,69022,3,3
281,1,69022,7,3
282,1,69022,16,0
283,1,69022,5,0
285,1,69022,8,0
287,1,69022,4,0
288,1,69022,15,0
289,1,71123,1,0
290,1,71123,18,0
291,1,71123,14,0
292,1,71123,2,1
293,1,71123,17,0
295,1,71123,16,0
296,1,71123,13,0
297,1,71123,5,0
298,1,71123,9,2
299,1,71123,3,0
302,1,71123,8,0
304,1,71123,7,0
305,1,71123,4,0
306,1,71123,15,0
307,1,72491,1,0
308,1,72491,14,0
309,1,72491,8,1
310,1,72491,7,0
311,1,72491,2,0
312,1,72491,17,0
313,1,72491,13,0
314,1,72491,18,0
315,1,72491,9,2
316,1,72491,16,0
320,1,72491,3,1
322,1,72491,5,0
323,1,72491,4,0
324,1,72491,15,0
325,1,72893,1,0
327,1,72893,16,0
328,1,72893,3,0
329,1,72893,8,0
331,1,72893,9,0
332,1,72893,2,0
333,1,72893,5,0
334,1,72893,14,0
335,1,72893,17,0
336,1,72893,18,0
338,1,72893,7,0
339,1,72893,13,0
341,1,72893,4,0
342,1,72893,15,0
343,1,73515,1,0
344,1,73515,5,0
345,1,73515,14,0
346,1,73515,7,0
347,1,73515,18,1
348,1,73515,17,0
349,1,73515,16,0
351,1,73515,9,0
352,1,73515,3,3
355,1,73515,13,0
356,1,73515,8,0
358,1,73515,2,1
359,1,73515,4,0
360,1,73515,15,0
361,1,73800,1,0
363,1,73800,3,3
364,1,73800,5,0
365,1,73800,8,0
366,1,73800,14,0
367,1,73800,2,0
368,1,73800,9,1
369,1,73800,16,0
371,1,73800,7,0
372,1,73800,13,0
375,1,73800,18,0
376,1,73800,17,0
377,1,73800,4,0
378,1,73800,15,0
379,1,73918,1,0
380,1,73918,14,0
381,1,73918,2,1
383,1,73918,16,0
384,1,73918,13,0
385,1,73918,17,1
386,1,73918,5,0
387,1,73918,3,3
390,1,73918,8,0
391,1,73918,7,0
392,1,73918,9,2
394,1,73918,18,0
395,1,73918,4,0
396,1,73918,15,0
397,1,78850,1,0
398,1,78850,14,0
399,1,78850,17,0
400,1,78850,16,0
401,1,78850,5,0
402,1,78850,18,0
403,1,78850,13,0
