,rodada_id,atleta_id,apelido,clube,posicao,preco_open,pontos_num,variacao_num,ieo_gm_mean,iao_gm_mean,ied_gm_mean,ieg_gm_mean,iro_gm,irp_gm,ippc_gm_mean,ranking_clube,fase,prob_vitoria_mandante,prob_vitoria_visitante,prob_vitoria,mando,XP_mandante,XP_visitante,XP,media_movel_mandante,media_movel_visitante,media_movel,odds,points_next,binary_prob
481,3,69375,Vidal,Flamengo,MEI,7.16,3.7,0.07,0.0,0.0,37.93087204851911,5.4472409311118986,6.1099999999999985,4.182642035552457,0.368086592178771,0,3,44.528858067006894,71.67000128062493,71.67000128062493,visitante,0.0,4.7,0,3.7,4.7,3.7,0,0,0.0
482,3,113359,Pablo Maia,São Paulo,MEI,3.4799999999999995,3.5,0.66,0.0,0.0,40.231407878466705,5.4472409311118986,2.223333333333333,2.785903329154478,0.5235823754789272,0,4,32.497957808411044,25.278172858510654,32.497957808411044,mandante,2.65,0.0,0,1.3,2.35,1.3,0,0,0.0
483,3,103767,Gabriel Menino,Palmeiras,MEI,7.33,3.3,-0.09,23.81,0.0,31.624565742212805,5.4472409311118986,15.263333333333335,6.64777680906713,0.6264571017128998,0,7,44.528858067006894,45.66382906648863,45.66382906648863,visitante,0.0,4.3,0,2.3,7.6,2.3,0,0,0.0
487,3,87009,Nathan,Grêmio,MEI,5.9,3.0,0.03,0.0,0.0,32.20632397102985,5.4472409311118986,13.146666666666668,4.88715611443633,0.5187920120417338,0,6,43.04610701361286,25.278172858510654,43.04610701361286,mandante,0.5,0.0,0,0.5,4.2,0.5,0,0,0.0
488,3,99267,Pochettino,Fortaleza,MEI,5.84,2.9,0.2,0.0,0.0,37.61055172819879,5.4472409311118986,11.843333333333335,3.5423452768729646,0.4877473363774733,0,7,44.528858067006894,40.12066006498785,40.12066006498785,visitante,0.0,2.75,0,3.1,2.5,3.1,0,0,0.0
489,3,111769,Marlon Gomes,Vasco,MEI,4.68,2.8,0.23,0.0,0.0,38.17052346464112,5.4472409311118986,2.563333333333333,4.718862156054764,0.4798634628823308,0,4,44.528858067006894,25.16077194889739,25.16077194889739,visitante,0.0,1.45,0,2.85,1.4,2.85,0,0,0.0
491,3,111996,Julián Palacios,Goiás,MEI,4.79,2.6,0.04,28.736666666666665,0.0,26.379320496967555,5.4472409311118986,9.786666666666667,6.75789829363068,0.6309324982602645,0,3,28.915469257349386,25.278172858510654,28.915469257349386,mandante,4.7,0.0,0,5.4,2.6,5.4,0,0,0.0
493,3,60793,Alex Teixeira,Vasco,MEI,6.4300000000000015,2.5,-0.24,28.736666666666665,0.0,26.221515633280333,5.4472409311118986,10.683333333333335,6.5133590323009445,0.5706217396544105,0,4,44.528858067006894,25.16077194889739,25.16077194889739,visitante,0.0,0.95,0,4.7,0.4,4.7,0,0,0.0
452,3,106202,Bruno Gomes,Coritiba,MEI,8.42,8.8,1.94,33.333333333333336,6.666666666666668,43.0701289524819,5.4472409311118986,19.23,13.230429988974644,0.8301028659007175,0,1,44.528858067006894,7.512902640261236,7.512902640261236,visitante,0.0,5.25,0,5.25,7.5,5.25,0,0,0.0
512,3,115404,Rwan,Vasco,ATA,3.0,-0.6,-1.14,0.0,0.0,28.82176293941,5.4472409311118986,0.0,-0.3987770836102619,-0.06666666666666668,0,4,44.528858067006894,25.16077194889739,25.16077194889739,visitante,0.0,1.5,0,-0.6,0.0,-0.6,0,0,0.0
495,3,104420,Reinaldo,Athletico-PR,ATA,2.39,0.0,0.0,0.0,0.0,33.745510216098445,5.4472409311118986,4.166666666666667,1.153324287652646,0.2833333333333333,0,3,12.941759608905187,25.278172858510654,12.941759608905187,mandante,1.85,0.0,0,1.7,0.0,1.7,0,0,0.0
511,3,86485,Keno,Fluminense,ATA,3.16,-0.4,-0.56,0.0,0.0,25.479597244303125,5.4472409311118986,0.0,-0.7641262819223807,-0.12460645170995133,0,6,49.87907610741868,25.278172858510654,49.87907610741868,mandante,-1.1,0.0,0,-1.2,-0.35,-1.2,0,0,0.0
