,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1790,Erick,97810,Ceará,ATA,2.142857142857143,0.72,Botafogo,visitante,4.444444444444445,2.582222222222222
1791,Geovane,105336,Ceará,MEI,0.05000000000000001,0.7000000000000001,Botafogo,visitante,4.444444444444445,2.5722222222222224
1792,Fábio Carille,70696,Athletico-PR,TEC,4.385,3.15,Atlético-MG,visitante,1.9899999999999998,2.57
1793,Lucas Braga,99119,Santos,ATA,2.7399999999999993,2.233333333333334,Coritiba,visitante,2.9,2.566666666666667
1794,João Victor,104250,Corinthians,ZAG,4.366666666666666,4.025,Avaí,visitante,1.1,2.5625
1795,Nicolás Hernández,105672,Athletico-PR,ZAG,2.5,3.12,Atlético-MG,visitante,1.9899999999999998,2.5549999999999997
1796,Zé Ricardo,97317,América-MG,MEI,0.29999999999999993,0.7,Juventude,visitante,4.388888888888889,2.5444444444444447
1797,Matheusinho,93886,América-MG,MEI,4.08,0.6499999999999999,Juventude,visitante,4.388888888888889,2.519444444444445
1798,Lucas Pires,114374,Santos,LAT,3.925,2.12,Coritiba,visitante,2.9,2.51
1799,Fernandinho,72775,Athletico-PR,MEI,1.6,3.0,Atlético-MG,visitante,1.9899999999999998,2.495
1800,Lucas Barbosa,112886,Santos,MEI,4.416666666666667,2.075,Coritiba,visitante,2.9,2.4875
1801,Cuello,98909,Athletico-PR,ATA,4.65,2.9624999999999995,Atlético-MG,visitante,1.9899999999999998,2.4762499999999994
1802,Uendel,60852,Cuiabá,LAT,2.2,1.3875,Fluminense,visitante,3.5200000000000005,2.4537500000000003
1803,Everton,86757,Flamengo,ATA,5.75,2.4,São Paulo,visitante,2.5,2.45
1804,Lucas Halter,102253,Athletico-PR,ZAG,4.0,2.9,Atlético-MG,visitante,1.9899999999999998,2.445
1805,Rafael Gava,78867,Cuiabá,MEI,1.2166666666666666,1.3625,Fluminense,visitante,3.5200000000000005,2.44125
1806,Everton Ribeiro,51772,Flamengo,MEI,6.944444444444445,2.3400000000000003,São Paulo,visitante,2.5,2.42
1807,Velázquez,90012,Santos,ZAG,3.2,1.9250000000000003,Coritiba,visitante,2.9,2.4125
1808,Welliton,106108,Bragantino,ATA,-0.3,-0.1,Atlético-GO,visitante,4.87,2.3850000000000002
1809,Orejuela,95352,Athletico-PR,LAT,7.166666666666667,2.775,Atlético-MG,visitante,1.9899999999999998,2.3825
1810,Luan Dias,107416,Goiás,MEI,1.54,0.4999999999999999,Palmeiras,visitante,4.25,2.375
1811,Zé Roberto,80076,Ceará,ATA,1.9999999999999998,0.275,Botafogo,visitante,4.444444444444445,2.3597222222222225
1812,Jadsom Silva,103695,Bragantino,MEI,2.0285714285714285,-0.15714285714285717,Atlético-GO,visitante,4.87,2.3564285714285713
1813,Renato Augusto,38398,Corinthians,MEI,2.0999999999999996,3.6,Avaí,visitante,1.1,2.35
1814,Bruno Oliveira,103996,Santos,MEI,2.25,1.7666666666666666,Coritiba,visitante,2.9,2.333333333333333
1815,André Luís,92146,Cuiabá,ATA,2.8499999999999996,1.1428571428571428,Fluminense,visitante,3.5200000000000005,2.331428571428572
1816,Abner Vinícius,104513,Athletico-PR,LAT,4.78,2.6666666666666665,Atlético-MG,visitante,1.9899999999999998,2.328333333333333
1817,Jenison,71505,Cuiabá,ATA,0.6333333333333333,1.0999999999999999,Fluminense,visitante,3.5200000000000005,2.31
1818,Pablo,69165,Flamengo,ZAG,4.220000000000001,2.1166666666666667,São Paulo,visitante,2.5,2.3083333333333336
1819,Rômulo,107197,Athletico-PR,ATA,3.0250000000000004,2.583333333333333,Atlético-MG,visitante,1.9899999999999998,2.286666666666666
1820,Léo Cittadini,70986,Athletico-PR,MEI,1.9166666666666667,2.55,Atlético-MG,visitante,1.9899999999999998,2.2699999999999996
1821,Nicolas,72524,Goiás,ATA,6.283333333333335,0.2428571428571429,Palmeiras,visitante,4.25,2.2464285714285714
1822,Thiago Maia,89637,Flamengo,MEI,1.4625000000000001,1.9833333333333334,São Paulo,visitante,2.5,2.2416666666666667
1823,Terans,102878,Athletico-PR,MEI,7.85,2.488888888888889,Atlético-MG,visitante,1.9899999999999998,2.2394444444444446
1824,Ayrton Lucas,88393,Flamengo,LAT,7.771428571428571,1.975,São Paulo,visitante,2.5,2.2375
1825,Cássio,42234,Corinthians,GOL,7.0,3.3666666666666667,Avaí,visitante,1.1,2.2333333333333334
1826,Róger Guedes,89898,Corinthians,ATA,5.812500000000001,3.3555555555555556,Avaí,visitante,1.1,2.227777777777778
1827,Vitor Bueno,87552,Athletico-PR,MEI,6.066666666666666,2.4625000000000004,Atlético-MG,visitante,1.9899999999999998,2.2262500000000003
1828,Matheus Cadorini,111688,Internacional,ATA,1.4,-2.5,Fortaleza,visitante,6.944444444444445,2.2222222222222223
1829,Felipe Jonatan,101708,Santos,LAT,3.0999999999999996,1.48,Coritiba,visitante,2.9,2.19
1830,Canobbio,102928,Athletico-PR,ATA,3.442857142857143,2.3333333333333335,Atlético-MG,visitante,1.9899999999999998,2.1616666666666666
1831,Da Silva,107251,Goiás,ZAG,5.466666666666666,0.06666666666666665,Palmeiras,visitante,4.25,2.158333333333333
1832,Madson,78077,Santos,LAT,4.844444444444444,1.3999999999999997,Coritiba,visitante,2.9,2.15
1833,Gabriel,83257,Flamengo,ATA,5.885714285714286,1.7555555555555553,São Paulo,visitante,2.5,2.1277777777777778
1834,Wellington Paulista,38279,América-MG,ATA,0.4600000000000001,-0.15,Juventude,visitante,4.388888888888889,2.1194444444444445
1835,Auremir,77570,Goiás,MEI,1.18,-0.025000000000000022,Palmeiras,visitante,4.25,2.1125
1836,Gabriel Pirani,110607,Cuiabá,MEI,3.0666666666666664,0.6666666666666666,Fluminense,visitante,3.5200000000000005,2.0933333333333337
1837,Vinícius Balieiro,110605,Santos,MEI,0.0,1.2,Coritiba,visitante,2.9,2.05
1838,Marcos Guilherme,83266,Santos,ATA,1.5,1.2,Coritiba,visitante,2.9,2.05
1839,Du Queiroz,113687,Corinthians,MEI,2.769999999999999,2.9875,Avaí,visitante,1.1,2.04375
1840,Felipe Marques,101054,Cuiabá,ATA,1.3166666666666667,0.5444444444444445,Fluminense,visitante,3.5200000000000005,2.0322222222222224
1841,Marinho,68952,Flamengo,ATA,7.7250000000000005,1.5428571428571427,São Paulo,visitante,2.5,2.0214285714285714
1842,Matheus Fernandes,94067,Athletico-PR,MEI,1.425,2.0333333333333337,Atlético-MG,visitante,1.9899999999999998,2.0116666666666667
1843,Hugo Souza,101574,Flamengo,GOL,2.5,1.48,São Paulo,visitante,2.5,1.99
1844,John Mercado,115958,Athletico-PR,ATA,-0.2,0.0,Atlético-MG,visitante,1.9899999999999998,1.9899999999999998
1845,Bryan García,110013,Athletico-PR,MEI,0.9333333333333335,0.0,Atlético-MG,visitante,1.9899999999999998,1.9899999999999998
1846,Luan,63219,Goiás,MEI,-0.4,-0.4,Palmeiras,visitante,4.25,1.925
1847,Jonathan Cafu,78580,Cuiabá,ATA,0.8,0.31666666666666665,Fluminense,visitante,3.5200000000000005,1.9183333333333334
1848,Daniel Guedes ,88225,Cuiabá,LAT,2.4999999999999996,0.29999999999999993,Fluminense,visitante,3.5200000000000005,1.9100000000000001
