,apelido,atleta_id,clube,posicao,media_casa,media_fora
159,Gustavo Mosquito,97450,Corinthians,ATA,-0.1,-0.3
160,Gustavo Sauer,85993,Botafogo,ATA,2.9,1.15
161,Gustavo Scarpa,87999,Palmeiras,MEI,7.2,-0.1
162,Hayner,91856,Atlético-GO,LAT,2.0,3.05
163,Helinho,102598,Bragantino,ATA,-0.05,1.7333333333333334
164,Henrique,50856,Coritiba,ZAG,5.3999999999999995,0.5333333333333333
165,Henrique Almeida,68773,América-MG,ATA,-0.2,2.45
166,Henrique Lordelo,107259,Goiás,MEI,2.3,-2.4
167,Hugo,107908,Goiás,LAT,-0.1,1.0999999999999999
168,Hugo,109668,Botafogo,LAT,3.0999999999999996,5.8
169,Hugo,116056,Coritiba,ATA,0.6,0.0
170,Hugo Moura,101594,Athletico-PR,MEI,6.800000000000001,4.25
171,Hugo Souza,101574,Flamengo,GOL,1.5,0.7333333333333334
172,Hulk,39148,Atlético-MG,ATA,10.0,6.5
173,Hyoran,85931,Bragantino,MEI,-1.0,6.4
174,Hércules,116447,Fortaleza,MEI,1.6,5.35
175,Iago Maidana,89226,América-MG,ZAG,10.55,1.8
176,Igor Cariús,91639,Cuiabá,LAT,0.0,2.6
177,Igor Gomes,100084,São Paulo,MEI,1.2333333333333334,4.266666666666667
178,Igor Paixão,104530,Coritiba,ATA,7.85,9.166666666666666
179,Igor Vinícius,95466,São Paulo,LAT,0.0,0.0
180,Isla,69345,Flamengo,LAT,4.1499999999999995,-1.5
181,Iury Castilho,89695,Ceará,ATA,1.9,-1.0
182,Jadsom Silva,103695,Bragantino,MEI,3.966666666666667,0.85
183,Jadson,80129,Juventude,MEI,2.4999999999999996,4.1
184,Jailson,72290,América-MG,GOL,6.5,3.25
185,Jair,81091,Atlético-MG,MEI,3.85,0.5
186,Jair Ventura,92180,Goiás,TEC,3.6733333333333333,4.19
187,Jan Hurtado,105301,Bragantino,ATA,-1.1,0.7
188,Jandrei,86508,São Paulo,GOL,2.5,1.5
189,Jean,89150,Juventude,MEI,0.9,0.85
190,Jean Cléber,73858,Avaí,MEI,0.050000000000000044,1.1
191,Jean Pyerre,98832,Avaí,MEI,-0.19999999999999996,1.0
192,Jefferson,95220,Atlético-GO,LAT,1.2333333333333334,1.9000000000000001
193,Jhojan Julio,100074,Santos,ATA,1.866666666666667,2.3666666666666667
194,Johnny,106002,Internacional,MEI,1.0,0.0
195,Jonathan Silva,102597,Botafogo,LAT,0.6,0.0
196,Jorge,88065,Palmeiras,LAT,0.7333333333333334,0.0
197,Jorginho,77544,Atlético-GO,MEI,0.43333333333333335,6.05
198,José Welison,86859,Fortaleza,MEI,-0.2,0.6
199,João Lucas,104257,Cuiabá,LAT,0.35,4.433333333333333
200,João Paulo,71602,América-MG,LAT,4.2,1.1333333333333333
201,João Paulo,85425,Santos,GOL,4.333333333333333,4.666666666666667
202,João Ricardo,81881,Ceará,GOL,0.8333333333333334,7.1
203,João Victor,104250,Corinthians,ZAG,5.7,4.025
204,João Victor,112060,Ceará,ATA,0.9,0.0
205,Juan Pablo,114497,Goiás,LAT,5.8,0.0
206,Juan Vojvoda,104754,Fortaleza,TEC,2.67,2.3166666666666664
207,Juninho,82381,América-MG,MEI,2.85,1.5333333333333332
