,clube,xG_casa,xGA_casa,xG_fora,xGA_fora,xG_geral,xGA_geral,xG_diff_casa,xG_diff_fora,xG_diff_geral,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral,xG_G_comp
10,Palmeiras,1.9042291872719963,0.9169270952957683,1.5961177757759997,1.0829066761421726,1.750173481523998,0.9999168857189704,0.987302091976228,0.513211099633827,0.7502565958050276,1.9166666666666667,0.6666666666666666,1.4,0.5,1.6583333333333332,0.5833333333333333,1.25,0.8999999999999999,1.075,0.09184014819066477
11,Bragantino,1.588844114472874,1.0325298091465285,1.2873872070808632,1.5110168590590114,1.4381156607768686,1.27177333410277,0.5563143053263455,-0.22362965197814821,0.16634232667409865,1.5833333333333333,0.9166666666666666,1.1818181818181819,1.6363636363636365,1.3825757575757576,1.2765151515151516,0.6666666666666666,-0.4545454545454546,0.10606060606060597,0.05553990320111102
12,Goiás,1.122662497628402,1.5862627078823954,0.994589015290776,1.7975058077295312,1.0586257564595891,1.6918842578059632,-0.46360021025399334,-0.8029167924387551,-0.6332585013463741,1.2727272727272727,1.0909090909090908,0.8333333333333334,1.4166666666666667,1.053030303030303,1.253787878787879,0.18181818181818188,-0.5833333333333334,-0.2007575757575759,0.005595453429286135
13,Avaí,1.1071398401532568,1.2422424820580227,0.8452719172097812,1.9046253768097856,0.9762058786815191,1.5734339294339041,-0.13510264190476584,-1.0593534596000045,-0.597228050752385,1.4166666666666667,1.3333333333333333,0.5454545454545454,1.8181818181818181,0.9810606060606061,1.5757575757575757,0.08333333333333348,-1.2727272727272727,-0.5946969696969696,-0.004854727379086987
14,Corinthians,1.1215959704474434,0.9806324459325961,0.9492909242852062,1.1837893905390984,1.0354434473663248,1.0822109182358473,0.14096352451484728,-0.23449846625389215,-0.04676747086952249,1.0909090909090908,0.2727272727272727,1.0,1.75,1.0454545454545454,1.0113636363636362,0.8181818181818181,-0.75,0.03409090909090917,-0.010011098088220649
15,São Paulo,1.4629257823021242,1.0752775926002773,1.2190385537481407,1.372745331869207,1.3409821680251324,1.2240114622347422,0.3876481897018469,-0.15370677812106637,0.11697070579039015,1.8181818181818181,1.2727272727272727,0.9166666666666666,1.25,1.3674242424242424,1.2613636363636362,0.5454545454545454,-0.33333333333333337,0.10606060606060619,-0.02644207439911006
16,Internacional,1.7169399663189233,1.1988692545771242,1.3061890380791812,1.1798067794514202,1.5115645021990523,1.1893380170142722,0.5180707117417991,0.12638225862776098,0.32222648518478003,2.090909090909091,1.0,1.0833333333333333,1.0,1.587121212121212,1.0,1.0909090909090908,0.08333333333333326,0.5871212121212119,-0.07555670992215968
17,Flamengo,2.0528123365283553,0.7399536980743411,1.3008165165792138,1.1459809570527715,1.6768144265537845,0.9429673275635563,1.3128586384540142,0.15483555952644235,0.7338470989902283,2.5,0.5,1.0833333333333333,1.1666666666666667,1.7916666666666665,0.8333333333333334,2.0,-0.08333333333333348,0.9583333333333331,-0.11485224011288198
18,Athletico-PR,1.1963065522423149,1.4978288157019959,0.8878424580764603,1.5751053512182438,1.0420745051593876,1.5364670834601197,-0.30152226345968103,-0.6872628931417835,-0.49439257830073213,1.3636363636363635,0.8181818181818182,1.0,1.5833333333333333,1.1818181818181817,1.2007575757575757,0.5454545454545453,-0.5833333333333333,-0.018939393939394034,-0.13974367665879406
19,Fluminense,1.6339028703901775,0.9643066676637245,0.8852382969655892,1.30973131521751,1.2595705836778834,1.1370189914406172,0.6695962027264529,-0.4244930182519209,0.1225515922372662,2.25,1.0833333333333333,1.0909090909090908,1.1818181818181819,1.6704545454545454,1.1325757575757576,1.1666666666666667,-0.09090909090909105,0.5378787878787878,-0.410883961776662
