,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1226,Everton Ribeiro,51772,Flamengo,MEI,5.833333333333333,2.2750000000000004,Fortaleza,mandante,4.666666666666667,5.25
1227,Zé Rafael,82455,Palmeiras,MEI,8.175,7.366666666666667,Atlético-MG,mandante,2.25,5.2125
1228,Pablo,69165,Flamengo,ZAG,5.4,2.8000000000000003,Fortaleza,mandante,4.666666666666667,5.033333333333333
1229,Pedro,94583,Flamengo,ATA,5.3,2.8666666666666667,Fortaleza,mandante,4.666666666666667,4.983333333333333
1230,Luan Cândido,100848,Bragantino,LAT,6.7,3.4000000000000004,Internacional,mandante,3.25,4.975
1231,Richard Coelho,86711,Ceará,MEI,5.2,-0.10000000000000002,Coritiba,mandante,4.75,4.975
1232,Jorginho,70323,Atlético-GO,TEC,7.11,3.76,Corinthians,mandante,2.75,4.93
1233,Morato,86227,Avaí,ATA,6.525,3.6999999999999997,São Paulo,mandante,3.25,4.8875
1234,Gomes,107109,Flamengo,MEI,5.1000000000000005,6.233333333333333,Fortaleza,mandante,4.666666666666667,4.883333333333334
1235,Everaldo ,91151,América-MG,ATA,8.1,4.35,Cuiabá,mandante,1.625,4.8625
1236,Fábio Carille,70696,Athletico-PR,TEC,4.385,3.15,Santos,mandante,5.333333333333333,4.859166666666667
1237,Cuello,98909,Athletico-PR,ATA,4.333333333333333,2.8499999999999996,Santos,mandante,5.333333333333333,4.833333333333333
1238,Hugo Moura,101594,Athletico-PR,MEI,4.300000000000001,4.25,Santos,mandante,5.333333333333333,4.816666666666666
1239,Ayrton Lucas,88393,Flamengo,LAT,4.9,3.1,Fortaleza,mandante,4.666666666666667,4.783333333333333
1240,Pedro Henrique,87225,Athletico-PR,ZAG,4.175,3.6999999999999997,Santos,mandante,5.333333333333333,4.754166666666666
1241,Gustavo Scarpa,87999,Palmeiras,MEI,7.2,4.833333333333333,Atlético-MG,mandante,2.25,4.725
1242,Chay,104926,Botafogo,MEI,6.433333333333334,1.6333333333333335,Goiás,mandante,3.0,4.716666666666667
1243,Dudu,68920,Palmeiras,ATA,6.949999999999999,3.966666666666667,Atlético-MG,mandante,2.25,4.6
1244,Gabriel,83257,Flamengo,ATA,4.5,2.6999999999999997,Fortaleza,mandante,4.666666666666667,4.583333333333334
1245,Gustavo Gómez,71684,Palmeiras,ZAG,6.875,9.15,Atlético-MG,mandante,2.25,4.5625
1246,Zé Roberto,80076,Ceará,ATA,4.35,-0.1,Coritiba,mandante,4.75,4.55
1247,Lucas Halter,102253,Athletico-PR,ZAG,3.7,2.9,Santos,mandante,5.333333333333333,4.516666666666667
1248,Khellven ,105175,Athletico-PR,LAT,3.6,2.9,Santos,mandante,5.333333333333333,4.466666666666667
1249,Piquerez,102130,Palmeiras,LAT,6.65,2.6,Atlético-MG,mandante,2.25,4.45
1250,Diego Gonçalves,90540,Botafogo,ATA,5.866666666666667,0.72,Goiás,mandante,3.0,4.433333333333334
1251,Isla,69345,Flamengo,LAT,4.1499999999999995,-1.0333333333333334,Fortaleza,mandante,4.666666666666667,4.408333333333333
1252,Hayner,91856,Atlético-GO,LAT,6.033333333333334,1.1666666666666665,Corinthians,mandante,2.75,4.3916666666666675
1253,Wescley,70925,Ceará,MEI,3.9,1.4,Coritiba,mandante,4.75,4.325
1254,Airton,106107,Atlético-GO,ATA,5.766666666666667,0.8666666666666667,Corinthians,mandante,2.75,4.258333333333333
1255,Maurício Barbieri,82792,Bragantino,TEC,5.239999999999999,3.5775000000000006,Internacional,mandante,3.25,4.244999999999999
1256,Abel Ferreira,110506,Palmeiras,TEC,6.2075000000000005,6.760000000000001,Atlético-MG,mandante,2.25,4.22875
1257,Christian,104502,Athletico-PR,MEI,3.0500000000000003,1.55,Santos,mandante,5.333333333333333,4.191666666666666
1258,Filipe Luís,38750,Flamengo,LAT,3.7,0.0,Fortaleza,mandante,4.666666666666667,4.183333333333334
1259,Vitinho,101960,Athletico-PR,ATA,3.033333333333333,0.7333333333333334,Santos,mandante,5.333333333333333,4.183333333333334
1260,Aloísio,73850,América-MG,ATA,6.7,3.033333333333333,Cuiabá,mandante,1.625,4.1625
1261,Sorriso,111333,Bragantino,ATA,5.050000000000001,0.2749999999999999,Internacional,mandante,3.25,4.15
1262,Patrick de Paula,107172,Botafogo,MEI,5.266666666666667,3.233333333333333,Goiás,mandante,3.0,4.133333333333333
1263,Cleiton,93882,Bragantino,GOL,5.0,3.75,Internacional,mandante,3.25,4.125
1264,Nicolás Hernández,105672,Athletico-PR,ZAG,2.9,4.4,Santos,mandante,5.333333333333333,4.116666666666666
1265,Paulinho Bóia,100333,América-MG,ATA,6.6000000000000005,2.0999999999999996,Cuiabá,mandante,1.625,4.112500000000001
1266,Marcos Victor,115537,Ceará,ZAG,3.4,0.0,Coritiba,mandante,4.75,4.075
1267,Paulinho Moccelin,82640,Juventude,ATA,7.1499999999999995,-0.6499999999999998,Fluminense,mandante,1.0,4.074999999999999
1268,Matheus Fernandes,94067,Athletico-PR,MEI,2.8,2.9333333333333336,Santos,mandante,5.333333333333333,4.066666666666666
1269,Raniele,95556,Avaí,MEI,4.8500000000000005,4.2,São Paulo,mandante,3.25,4.050000000000001
1270,Matheus Felipe,102310,Athletico-PR,ZAG,2.5250000000000004,7.65,Santos,mandante,5.333333333333333,3.9291666666666667
1271,Marlon Freitas,93790,Atlético-GO,MEI,5.075,1.0999999999999999,Corinthians,mandante,2.75,3.9125
1272,Ytalo,53148,Bragantino,ATA,4.533333333333334,3.766666666666666,Internacional,mandante,3.25,3.891666666666667
1273,Canobbio,102928,Athletico-PR,ATA,2.45,2.5,Santos,mandante,5.333333333333333,3.8916666666666666
1274,Nino Paraíba,68808,Ceará,LAT,2.966666666666667,1.4500000000000002,Coritiba,mandante,4.75,3.8583333333333334
1275,Mendoza,90031,Ceará,ATA,2.766666666666667,6.375,Coritiba,mandante,4.75,3.7583333333333337
1276,Eduardo Barroca,77774,Avaí,TEC,4.24,3.2275,São Paulo,mandante,3.25,3.745
1277,Dorival Júnior,40990,Ceará,TEC,2.6666666666666665,3.8100000000000005,Coritiba,mandante,4.75,3.708333333333333
1278,Erison,108422,Botafogo,ATA,4.3999999999999995,9.16,Goiás,mandante,3.0,3.6999999999999997
1279,Hugo Souza,101574,Flamengo,GOL,2.6666666666666665,1.85,Fortaleza,mandante,4.666666666666667,3.666666666666667
1280,Matheusinho,93886,América-MG,MEI,5.7,-1.7000000000000002,Cuiabá,mandante,1.625,3.6625
1281,Wellington Rato,82766,Atlético-GO,MEI,4.575,2.125,Corinthians,mandante,2.75,3.6625
1282,Kuscevic,98619,Palmeiras,ZAG,5.0,13.2,Atlético-MG,mandante,2.25,3.625
1283,Vinícius Leite,93646,Avaí,MEI,4.0,-0.4,São Paulo,mandante,3.25,3.625
1284,Gustavo Garcia,107225,Palmeiras,LAT,5.0,0.0,Atlético-MG,mandante,2.25,3.625
1285,Ronaldo,91101,Atlético-GO,GOL,4.5,4.066666666666666,Corinthians,mandante,2.75,3.625
1286,Rodinei,73992,Flamengo,LAT,2.55,-3.0,Fortaleza,mandante,4.666666666666667,3.6083333333333334
1287,Jadsom Silva,103695,Bragantino,MEI,3.966666666666667,-0.1333333333333334,Internacional,mandante,3.25,3.6083333333333334
1288,Dudu,97133,Atlético-GO,LAT,4.35,0.2,Corinthians,mandante,2.75,3.55
1289,Luís Castro,88037,Botafogo,TEC,4.096666666666667,4.1659999999999995,Goiás,mandante,3.0,3.5483333333333333
1290,Bruno Tubarão,93637,Bragantino,ATA,3.8000000000000003,1.3666666666666665,Internacional,mandante,3.25,3.5250000000000004
1291,Lázaro,110193,Flamengo,MEI,2.3666666666666667,0.9750000000000001,Fortaleza,mandante,4.666666666666667,3.5166666666666666
1292,Aderlan,88423,Bragantino,LAT,3.75,3.1,Internacional,mandante,3.25,3.5
1293,Jailson,72290,América-MG,GOL,5.333333333333333,3.0,Cuiabá,mandante,1.625,3.4791666666666665
1294,Óscar Ruíz,71691,Juventude,ATA,5.95,10.0,Fluminense,mandante,1.0,3.475
1295,Felipe Azevedo,60825,América-MG,ATA,5.266666666666667,0.049999999999999975,Cuiabá,mandante,1.625,3.4458333333333333
1296,Bruno Silva,68698,Avaí,MEI,3.625,4.833333333333333,São Paulo,mandante,3.25,3.4375
1297,Daniel Borges,73318,Botafogo,LAT,3.8666666666666667,3.3,Goiás,mandante,3.0,3.4333333333333336
1298,David Luiz,52827,Flamengo,ZAG,2.2,0.5333333333333333,Fortaleza,mandante,4.666666666666667,3.4333333333333336
1299,Vanderlan,107236,Palmeiras,LAT,4.6,0.0,Atlético-MG,mandante,2.25,3.425
