,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,status
302,{},108539,16,264,1,6,0.0,2.0,0.0,0.0,0,,guilherme,Guilherme,Guilherme,Guilherme Vicentini Castellani,https://s.glbimg.com/es/sde/f/2022/04/27/d5ba0de6f8281e3ab0325007342997b6_FORMATO.png,Nulo
303,{'PI': 2},107107,16,373,3,6,0.0,1.43,0.0,-0.2,1,,gabriel-noga,Gabriel Noga,G. Noga,Gabriel Rodrigues Noga,https://s.glbimg.com/es/sde/f/2022/04/06/dcfecd20e4c41521f27792d86d644519_FORMATO.png,Nulo
304,"{'CA': 1, 'DS': 6, 'FC': 6, 'FF': 1, 'FS': 2, 'PI': 32, 'SG': 2}",83528,16,262,3,7,0.0,3.85,0.0,2.6,5,,leo-pereira,Léo Pereira,L. Pereira,Leonardo Pereira,https://s.glbimg.com/es/sde/f/2022/03/04/f8401115c5ce6574f1f6fb8e8cfccee6_FORMATO.png,Provável
305,"{'DS': 3, 'FC': 1, 'FD': 1, 'FF': 1, 'FS': 3, 'PI': 6}",38909,16,262,4,6,0.0,3.04,0.0,0.88,7,,diego,Diego,Diego,Diego Ribas da Cunha,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,Nulo
306,"{'A': 1, 'CA': 3, 'DS': 7, 'FC': 10, 'FD': 3, 'FF': 1, 'FS': 17, 'I': 5, 'PI': 22, 'PS': 1}",89695,16,354,5,3,0.9,2.14,-0.6,2.45,8,,iury-castilho,Iury Castilho,I. Castilho,Iury Lirio Freitas de Castilho,https://s.glbimg.com/es/sde/f/2022/02/22/86c0d4d6ac47c43279f6f3574192781d_FORMATO.png,Suspenso
307,"{'A': 1, 'CA': 2, 'DS': 29, 'FC': 12, 'FF': 2, 'FS': 2, 'PC': 1, 'PI': 68, 'SG': 2}",101727,16,262,2,6,0.0,6.49,0.0,3.89,10,,matheuzinho,Matheuzinho,Matheuzinho,Matheus França Silva,https://s.glbimg.com/es/sde/f/2022/04/25/f8b82a43e5e935dc7a17f7f142575c55_FORMATO.png,Nulo
308,"{'A': 2, 'CA': 2, 'DS': 14, 'FC': 13, 'FD': 5, 'FF': 4, 'FS': 18, 'I': 3, 'PI': 111}",80583,16,356,4,7,0.0,3.93,0.0,2.31,12,,lucas-lima,Lucas Lima,L. Lima,Lucas Rafael Araújo Lima,https://s.glbimg.com/es/sde/f/2022/05/12/84bb3dd96bdb6d9a87233dfc22d19bef_FORMATO.png,Provável
309,"{'DS': 25, 'FC': 7, 'FS': 9, 'PC': 1, 'PI': 76, 'SG': 3}",78445,16,285,2,5,0.0,6.91,0.0,4.31,9,,rene,Renê,Renê,Renê Rodrigues Martins,https://s.glbimg.com/es/sde/f/2022/04/12/89131124e240b53f50f1fe351ceb880d_FORMATO.png,Contundido
310,"{'FC': 2, 'PI': 5}",115100,16,262,4,6,-0.4,1.25,-0.51,-0.55,2,,matheus-franca,Matheus França,M. França,Matheus França de Oliveira,https://s.glbimg.com/es/sde/f/2022/04/25/52035534eea583575956f43e6e6dc166_FORMATO.png,Nulo
311,{},111690,16,262,1,6,0.0,2.0,0.0,0.0,0,,matheus-cunha,Matheus Cunha,M. Cunha,Matheus Cunha Queiroz,https://s.glbimg.com/es/sde/f/2022/03/04/fe08cea4d131b5eef265a908bb05548b_FORMATO.png,Nulo
312,"{'CA': 1, 'DS': 19, 'FC': 5, 'FD': 2, 'FF': 1, 'FS': 3, 'I': 2, 'PI': 31, 'SG': 6}",68923,16,264,3,6,7.4,8.5,-0.09,5.17,10,,gil,Gil,Gil,Carlos Gilberto do Nascimento Silva,https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png,Nulo
313,"{'A': 1, 'CA': 1, 'DS': 3, 'FC': 3, 'FF': 1, 'FS': 2, 'PI': 9}",86841,16,285,4,6,0.7,3.96,-0.95,1.9,4,,boschilia,Boschilia,Boschilia,Gabriel Boschilia,https://s.glbimg.com/es/sde/f/2022/04/02/c206be82adb058c6ba1e3bc51d58712d_FORMATO.png,Nulo
314,"{'DE': 13, 'GS': 6}",84338,16,356,1,6,0.0,2.88,0.0,1.4,5,,max-walef,Max Walef,M. Walef,Max Walef Araújo da Silva,https://s.glbimg.com/es/sde/f/2022/02/23/0784484c9e35ebc5b014f365b5cbb5cc_FORMATO.png,Nulo
315,"{'DS': 1, 'FF': 1, 'FS': 3, 'PI': 15}",80193,16,286,5,2,2.0,2.04,0.45,0.4,5,,edinho,Edinho,Edinho,Francisco Edson Moreira da Silva,https://s.glbimg.com/es/sde/f/2022/04/04/7be5a82aee84c2e49f3f8260766fd19d_FORMATO.png,Dúvida
