,atleta_id,apelido,clube_id,xG_total,shots_total,jogos_num,goals_total,xG_per_match,xG_per_shot,shots_per_goal,clube,eficiência
44,81677,Carlos Sánchez,277,2.787852930462531,28,17,4,0.16399134885073713,0.09956617608794753,7.0,Santos,1.212147069537469
45,83266,Marcos Guilherme,277,2.77602672074841,25,14,4,0.19828762291060073,0.1110410688299364,6.25,Santos,1.2239732792515898
46,80076,Zé Roberto,373,2.734618355924955,24,13,4,0.21035525814807346,0.11394243149687312,6.0,Atlético-GO,1.265381644075045
47,86770,João Paulo,373,2.7186025402433462,28,14,2,0.19418589573166758,0.09709294786583379,14.0,Atlético-GO,-0.7186025402433462
48,90031,Mendoza,354,2.716461077312764,28,12,1,0.22637175644273033,0.09701646704688442,28.0,Ceará,-1.716461077312764
49,92146,André Luís,373,2.6912808559144685,23,13,1,0.20702160430111297,0.11701221112671602,23.0,Atlético-GO,-1.6912808559144685
50,69705,Nikão,293,2.6310164528534328,31,14,2,0.18792974663238807,0.08487149847914299,15.5,Athlético-PR,-0.6310164528534328
51,101798,Guilherme Castilho,286,2.6251413587692,29,17,3,0.15442007992759998,0.09052211581962757,9.666666666666666,Juventude,0.37485864123080015
52,107112,Rodrigo Muniz,262,2.5811254053192942,18,5,2,0.5162250810638589,0.1433958558510719,9.0,Flamengo,-0.5811254053192942
53,104075,Sabino,292,2.5480211164854585,21,12,0,0.21233509304045486,0.12133433888025993,inf,Sport,-2.5480211164854585
54,92708,Deyverson,275,2.5142156276706276,21,10,2,0.25142156276706273,0.11972455369860131,10.5,Palmeiras,-0.5142156276706276
55,87929,Matheus Vargas,356,2.513853237570233,32,16,1,0.15711582734813956,0.07855791367406978,32.0,Fortaleza,-1.513853237570233
56,103099,Éderson,356,2.501019260836632,47,19,1,0.13163259267561223,0.05321317576248154,47.0,Fortaleza,-1.5010192608366322
57,90264,Rodolfo,327,2.46892889677176,22,14,1,0.1763520640551257,0.11222404076235272,22.0,América-MG,-1.46892889677176
58,92696,Renato Kayzer,293,2.4571096180116254,19,11,4,0.22337360163742048,0.12932155884271712,4.75,Athlético-PR,1.5428903819883746
59,104459,Rick,354,2.4553364042074737,21,12,3,0.20461136701728946,0.11692078115273684,7.0,Ceará,0.5446635957925263
60,102598,Helinho,280,2.410059069761134,28,15,3,0.1606706046507423,0.0860735382057548,9.333333333333334,Bragantino,0.5899409302388658
61,105171,Fabrício,327,2.4020029060523136,31,13,2,0.18476945431171643,0.07748396471136496,15.5,América-MG,-0.4020029060523136
62,87098,Matheus Peixoto,286,2.3918854016545223,20,8,6,0.2989856752068153,0.11959427008272612,3.3333333333333335,Juventude,3.6081145983454777
63,102318,Caio Paulista,266,2.3810815840212767,18,11,1,0.21646196218375244,0.13228231022340425,18.0,Fluminense,-1.3810815840212767
64,94916,Nacho Fernández,282,2.3535978945107563,25,11,5,0.2139634449555233,0.09414391578043026,5.0,Atlético-MG,2.6464021054892437
65,80287,Luciano,276,2.3075322375289353,18,8,1,0.2884415296911169,0.12819623541827418,18.0,São Paulo,-1.3075322375289353
66,98672,Savarino,282,2.2507922353995324,24,11,4,0.20461747594541205,0.09378300980831385,6.0,Atlético-MG,1.7492077646004676
67,98909,Cuello,280,2.2314540772077236,39,18,2,0.12396967095598464,0.05721677121045445,19.5,Bragantino,-0.2314540772077236
68,70360,Eduardo Sasha,282,2.226368828776022,18,11,2,0.20239716625236562,0.12368715715422345,9.0,Atlético-MG,-0.22636882877602194
69,78435,Vitinho,262,2.224050534799538,34,16,2,0.13900315842497113,0.06541325102351582,17.0,Flamengo,-0.22405053479953807
70,62020,Douglas Costa,284,2.2160920984219783,35,13,2,0.1704686229555368,0.0633169170977708,17.5,Grêmio,-0.2160920984219783
71,100763,Gabriel Sara,276,2.1706609774407997,26,12,1,0.18088841478673331,0.08348696067079998,26.0,São Paulo,-1.1706609774407997
72,63289,Edenílson,285,2.1615531354417645,22,13,7,0.16627331811090496,0.09825241524735294,3.142857142857143,Internacional,4.838446864558236
73,86485,Keno,282,2.151784408826153,18,9,1,0.23908715653623924,0.11954357826811962,18.0,Atlético-MG,-1.151784408826153
