,atleta_id,apelido,clube_id,xG_total,shots_total,jogos_num,goals_total,xG_per_match,xG_per_shot,shots_per_goal,clube,eficiência
34,70316,Diego Costa,282,1.4944543836374682,9,5,3,0.29889087672749365,0.1660504870708298,3.0,Atlético-MG,1.5055456163625318
35,84342,Bobadilla,266,1.5890508384732465,12,8,3,0.1986313548091558,0.13242090320610386,4.0,Fluminense,1.4109491615267535
36,61149,Lucca,266,1.641915627644316,16,10,3,0.16419156276443161,0.10261972672776976,5.333333333333333,Fluminense,1.358084372355684
37,78580,Jonathan Cafu,1371,0.670402674282191,5,4,2,0.16760066857054776,0.1340805348564382,2.5,Cuiabá,1.3295973257178089
38,80076,Zé Roberto,373,2.734618355924955,24,13,4,0.21035525814807346,0.11394243149687312,6.0,Atlético-GO,1.265381644075045
39,100848,Luan Cândido,280,0.7491001527337886,14,7,2,0.10701430753339837,0.053507153766699185,7.0,Bragantino,1.2508998472662114
40,83266,Marcos Guilherme,277,2.77602672074841,25,14,4,0.19828762291060073,0.1110410688299364,6.25,Santos,1.2239732792515898
41,81677,Carlos Sánchez,277,2.787852930462531,28,17,4,0.16399134885073713,0.09956617608794753,7.0,Santos,1.212147069537469
42,68911,Diego Souza,284,2.8135167899856217,22,14,4,0.200965484998973,0.12788712681752826,5.5,Grêmio,1.1864832100143783
43,109588,Gabriel Pereira,264,0.8283688118878841,9,7,2,0.11833840169826916,0.09204097909865379,4.5,Corinthians,1.1716311881121158
44,89274,Andreas Pereira,262,0.8402231091360636,16,9,2,0.0933581232373404,0.05251394432100397,8.0,Flamengo,1.1597768908639363
45,69138,Pablo,276,1.8437536629988345,12,7,3,0.26339338042840493,0.1536461385832362,4.0,São Paulo,1.1562463370011655
46,110607,Gabriel Pirani,277,1.8492637760422879,26,15,3,0.12328425173615253,0.0711255298477803,8.666666666666666,Santos,1.1507362239577121
47,93790,Marlon Freitas,373,0.8818840953304291,9,7,2,0.1259834421900613,0.09798712170338102,4.5,Atlético-GO,1.1181159046695708
48,82640,Paulinho Moccelin,292,0.9142749389126575,13,10,2,0.09142749389126575,0.07032884145481981,6.5,Sport,1.0857250610873423
49,103767,Gabriel Menino,275,0.9241051233607284,13,8,2,0.11551314042009105,0.0710850094892868,6.5,Palmeiras,1.0758948766392717
