,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,slug,apelido,apelido_abreviado,nome,foto,status
477,{},102906,10,293,1,6,0.0,2.0,0.0,0.0,0,anderson,Anderson,Anderson,Anderson Silva da Paixão,https://s.glbimg.com/es/sde/f/2019/09/25/83402cd7511dec123de5ec04e0677a53_FORMATO.png,Nulo
478,{},91251,10,284,3,6,0.0,4.0,0.0,0.0,0,rodrigues,Rodrigues,Rodrigues,Antônio Josenildo Rodrigues de Oliveira,https://s.glbimg.com/es/sde/f/2021/04/29/b9b7a7e6fefbf4f984d80f0701c51587_FORMATO.png,Nulo
479,"{'CA': 1, 'DS': 20, 'FC': 6, 'FD': 4, 'FF': 3, 'FS': 7, 'PI': 60, 'SG': 1}",104649,10,285,2,5,0.0,5.95,0.0,3.53,7,heitor,Heitor,Heitor,Heitor Rodrigues da Fonseca,https://s.glbimg.com/es/sde/f/2021/05/02/5d9c07e5253c5c548f86e0caad3171fd_FORMATO.png,Contundido
480,"{'DS': 1, 'FC': 2, 'FS': 1, 'G': 2, 'PI': 3}",110303,10,356,5,6,8.0,4.33,0.54,4.05,4,igor-torres,Igor Torres,I. Torres,Igor Torres da Silva,https://s.glbimg.com/es/sde/f/2021/05/05/d3aebc36691b01242c9c79676d13eb45_FORMATO.png,Nulo
481,"{'A': 1, 'CA': 1, 'DS': 12, 'FC': 5, 'FD': 3, 'FF': 3, 'FS': 4, 'FT': 1, 'PC': 1, 'PI': 33}",105647,10,285,4,6,0.1,4.32,-0.25,2.4,8,mauricio,Maurício,Maurício,Maurício Magalhães Prado,https://s.glbimg.com/es/sde/f/2021/05/02/9b1360971d21b29ea6d3fcc3806ad12e_FORMATO.png,Nulo
482,"{'DS': 9, 'FC': 4, 'FD': 1, 'FS': 4, 'PI': 11}",106000,10,285,4,6,0.0,2.17,0.0,4.55,2,lucas-ramos,Lucas Ramos,L. Ramos,Lucas de Ramos Silveira,https://s.glbimg.com/es/sde/f/2021/05/02/ab91417c91ae0852faebb245de4601ee_FORMATO.png,Nulo
483,{},83528,10,262,3,6,0.0,4.0,0.0,0.0,0,leo-pereira,Léo Pereira,L. Pereira,Leonardo Pereira,https://s.glbimg.com/es/sde/f/2021/05/01/24712a2c490bdfccccacef591c363f05_FORMATO.png,Nulo
484,"{'A': 2, 'CA': 1, 'DS': 6, 'FC': 7, 'FD': 2, 'FF': 4, 'FS': 13, 'G': 1, 'PI': 39}",101960,10,293,5,7,0.0,7.46,0.0,3.34,8,vitinho,Vitinho,Vitinho,Vitor Hugo Naum dos Santos,https://s.glbimg.com/es/sde/f/2021/05/02/6f194f584e7ed2293b58deb814cde16c_FORMATO.png,Provável
485,"{'CA': 1, 'DS': 2, 'FC': 2, 'FF': 1, 'FS': 3, 'PC': 1, 'PI': 6}",42222,10,356,5,6,0.0,4.11,0.0,-0.07,4,osvaldo,Osvaldo,Osvaldo,Osvaldo Lourenço Filho,https://s.glbimg.com/es/sde/f/2021/05/05/1612e08c2623977599c9833c78c79556_FORMATO.png,Nulo
486,"{'CA': 2, 'DS': 7, 'FC': 5, 'FF': 1, 'FT': 1, 'PI': 49, 'SG': 1}",105839,10,285,2,6,0.0,2.08,0.0,0.88,5,leo-borges,Léo Borges,L. Borges,Leonardo Borges da Silva,https://s.glbimg.com/es/sde/f/2021/05/02/cc5dddbbe7552158b5e164a18ac31661_FORMATO.png,Nulo
