,apelido,atleta_id,clube,posicao,media_casa,media_fora
446,Xavier,102067,Corinthians,MEI,0.4,-5.5
447,Yago Felipe,87747,Fluminense,MEI,8.566666666666668,2.75
448,Yago Pikachu,80196,Fortaleza,MEI,4.7,5.5
449,Ytalo,53148,Bragantino,ATA,7.15,1.9500000000000002
450,Yuri Alberto,100652,Internacional,ATA,1.4000000000000001,2.266666666666667
451,Yuri Lima,90569,Cuiabá,MEI,-1.1,0.20000000000000004
452,Zaracho,100079,Atlético-MG,MEI,1.6333333333333335,5.8
453,Zárate,70523,América-MG,ATA,-0.8666666666666667,0.43333333333333335
454,Zé Ivaldo,91866,Athlético-PR,ZAG,-0.6000000000000001,1.8333333333333333
455,Zé Rafael,82455,Palmeiras,MEI,1.5666666666666667,-0.5333333333333333
456,Zé Ricardo,97317,América-MG,MEI,0.45,1.0
457,Zé Roberto,80076,Atlético-GO,ATA,-0.03333333333333336,1.5999999999999999
458,Ângelo,110415,Santos,ATA,0.25,1.0999999999999999
459,Éder,91203,Atlético-GO,ZAG,5.9,1.3333333333333333
460,Éderson,103099,Fortaleza,MEI,4.666666666666667,0.39999999999999997
