,nome,slug,apelido,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,clube,posicao,status_pre,FF,FS,G,A,SG,DE,DS,DP,FC,GC,GS,FD,CA,FT,I,PP,CV,PC,PI,PS,preco_open,ano,home_dummy,opponent,team_goals,opp_goals,match_id,adversario_nome,pontos_ofensivos_decisivos,pontos_ofensivos_finalização,pontos_ofensivos_totais,ieo_gm,ieo_gm_mean,finalizacoes_num,iao_gm,iao_gm_mean,desarmes_perc,ied_gm,ied_gm_mean,ieg_gm,ieg_gm_mean,GS_por_finalizacao,DE_por_finalizacao,ippc_gm,ippc_gm_mean,iro_gm,irp_gm
845,Renato Kayzer de Souza,renatokayzer,Renato Kayzer,92696,3,293,5,6,-0.1,7.46,-0.81,1.23,3,Athlético-PR,ATA,Nulo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.27,2021,0,284,1.0,0.0,270175,Grêmio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.242424242424242,30.20724486241728,0.0,16.147186147186147,0.0,0.0,-0.012091898428053206,0.11270296826159941,2.7775,0.730960756544383
846,Renato Kayzer de Souza,renatokayzer,Renato Kayzer,92696,4,293,5,6,0.0,7.46,0.0,1.23,3,Athlético-PR,ATA,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.46,2021,1,262,,,270181,Flamengo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.02127659574468,26.91075279574913,5.714285714285714,13.53896103896104,0.0,0.0,0.0,0.08452722619619955,2.7775,0.730960756544383
847,Renato Kayzer de Souza,renatokayzer,Renato Kayzer,92696,5,293,5,7,-1.1,6.39,-1.07,0.65,4,Athlético-PR,ATA,Provável,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.46,2021,1,373,2.0,1.0,270198,Atlético-GO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,22.778602236599305,18.51851851851852,14.534872534872534,0.0,0.0,-0.14745308310991959,0.03813116433497572,2.7775,0.730960756544383
848,Renato Kayzer de Souza,renatokayzer,Renato Kayzer,92696,6,293,5,6,-0.2,6.21,-0.18,0.48,5,Athlético-PR,ATA,Nulo,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,6.39,2021,0,265,1.0,2.0,270208,Bahia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,22.01247156080245,5.555555555555555,13.038319704986371,0.0,0.0,-0.03129890453834116,0.02655948618942291,2.7775,0.730960756544383
849,Renato Kayzer de Souza,renatokayzer,Renato Kayzer,92696,7,293,5,6,0.8,6.17,-0.04,0.53,6,Athlético-PR,ATA,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.21,2021,1,315,2.0,2.0,270239,Chapecoense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31.57894736842105,23.37911096189082,0.0,11.175702604274033,0.0,0.0,0.12882447665056362,0.041168770541014435,2.7775,0.730960756544383
850,Renato Kayzer de Souza,renatokayzer,Renato Kayzer,92696,8,293,5,6,0.0,6.17,0.0,0.53,6,Athlético-PR,ATA,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17,2021,0,266,4.0,1.0,270252,Fluminense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.432432432432435,24.51077614570852,25.806451612903224,13.00454623035268,0.0,0.0,0.0,0.03602267422338763,2.7775,0.730960756544383
851,Renato Kayzer de Souza,renatokayzer,Renato Kayzer,92696,9,293,5,6,0.0,6.17,0.0,0.53,6,Athlético-PR,ATA,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17,2021,1,356,2.0,1.0,270278,Fortaleza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.242424242424242,24.480959267565822,7.5,12.392929982535716,0.0,0.0,0.0,0.03202015486523345,2.7775,0.730960756544383
852,Renato Kayzer de Souza,renatokayzer,Renato Kayzer,92696,10,293,5,6,0.0,6.17,0.0,0.53,6,Athlético-PR,ATA,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17,2021,0,277,1.0,2.0,270284,Santos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.809523809523807,24.41381572176162,24.242424242424242,13.57787940852457,0.0,0.0,0.0,0.028818139378710105,2.7775,0.730960756544383
853,Abner Vinícius da Silva Santos,abnervinicius,Abner Vinícius,104513,1,293,2,6,5.7,9.54,1.54,5.7,1,Athlético-PR,LAT,Nulo,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.999999999999999,2021,1,327,1.0,0.0,270159,América-MG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,42.5,42.5,28.57142857142857,28.57142857142857,0.0,0.0,0.7125000000000001,0.7125000000000001,0.0,3.654803782721915
854,Abner Vinícius da Silva Santos,abnervinicius,Abner Vinícius,104513,2,293,2,6,0.0,9.54,0.0,5.7,1,Athlético-PR,LAT,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.54,2021,0,286,3.0,0.0,270170,Juventude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48275862068966,38.491379310344826,22.727272727272727,25.649350649350648,0.0,0.0,0.0,0.35625000000000007,0.0,3.654803782721915
855,Abner Vinícius da Silva Santos,abnervinicius,Abner Vinícius,104513,3,293,2,6,6.5,10.42,0.88,6.1,2,Athlético-PR,LAT,Nulo,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,9.54,2021,0,284,1.0,0.0,270175,Grêmio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,57.57575757575758,44.852838732149074,4.0,18.432900432900432,0.0,0.0,0.6813417190775682,0.4646139063591894,0.0,3.654803782721915
856,Abner Vinícius da Silva Santos,abnervinicius,Abner Vinícius,104513,4,293,2,7,0.0,10.42,0.0,6.1,2,Athlético-PR,LAT,Provável,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.42,2021,1,262,,,270181,Flamengo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.02127659574468,37.89494819804797,5.714285714285714,15.253246753246753,0.0,0.0,0.0,0.34846042976939207,0.0,3.654803782721915
857,Abner Vinícius da Silva Santos,abnervinicius,Abner Vinícius,104513,5,293,2,7,6.4,10.73,0.31,6.2,3,Athlético-PR,LAT,Provável,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,10.42,2021,1,373,2.0,1.0,270198,Atlético-GO,5.0,0.0,5.0,100.0,20.0,0.0,0.0,0.0,75.0,46.875,39.690958558438375,18.51851851851852,15.906301106301106,0.0,0.0,0.6142034548944338,0.40160903479440047,0.0,3.654803782721915
858,Abner Vinícius da Silva Santos,abnervinicius,Abner Vinícius,104513,6,293,2,7,3.5,10.45,-0.28,5.52,4,Athlético-PR,LAT,Provável,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,10.73,2021,0,265,1.0,2.0,270208,Bahia,5.0,0.0,5.0,100.0,33.333333333333336,0.0,0.0,0.0,0.0,24.242424242424242,37.11620283910269,5.555555555555555,14.181176847843515,0.0,0.0,0.32618825722274003,0.3890389051991237,0.0,3.654803782721915
859,Abner Vinícius da Silva Santos,abnervinicius,Abner Vinícius,104513,7,293,2,7,-2.2,9.1,-1.35,3.98,5,Athlético-PR,LAT,Provável,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,10.45,2021,1,315,2.0,2.0,270239,Chapecoense,0.0,0.0,0.0,0.0,28.571428571428573,0.0,0.0,0.0,0.0,13.157894736842104,33.693587395922606,0.0,12.155294441008726,0.0,0.0,-0.21052631578947373,0.3033867307721812,0.0,3.654803782721915
860,Abner Vinícius da Silva Santos,abnervinicius,Abner Vinícius,104513,8,293,2,7,-0.3,8.9,-0.2,3.27,6,Athlético-PR,LAT,Provável,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,9.1,2021,0,266,4.0,1.0,270252,Fluminense,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,50.0,37.83783783783784,34.21161870116201,25.806451612903224,13.861689087495538,0.0,0.0,-0.03296703296703297,0.26134251030477945,0.0,3.654803782721915
861,Abner Vinícius da Silva Santos,abnervinicius,Abner Vinícius,104513,9,293,2,6,-3.6,8.02,-0.88,2.29,7,Athlético-PR,LAT,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.9,2021,1,356,2.0,1.0,270278,Fortaleza,0.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,18.181818181818183,32.430529754568255,7.5,13.154834744440478,0.0,0.0,-0.4044943820224719,0.1873606333795293,0.0,3.654803782721915
862,Abner Vinícius da Silva Santos,abnervinicius,Abner Vinícius,104513,10,293,2,6,0.0,8.02,0.0,2.29,7,Athlético-PR,LAT,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.02,2021,0,277,1.0,2.0,270284,Santos,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,23.809523809523807,31.568429160063808,24.242424242424242,14.263593694238855,0.0,0.0,0.0,0.16862457004157635,0.0,3.654803782721915
863,Richard Cândido Coelho,richardcandido,Richard,86711,1,293,4,7,-2.7,1.6,-3.4,-2.7,1,Athlético-PR,MEI,Provável,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,2021,1,327,1.0,0.0,270159,América-MG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,5.0,5.0,25.71428571428571,25.71428571428571,0.0,0.0,-0.54,-0.54,6.34375,3.951756590068071
864,Richard Cândido Coelho,richardcandido,Richard,86711,2,293,4,7,0.0,0.71,-0.89,-1.35,2,Athlético-PR,MEI,Provável,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2021,0,286,3.0,0.0,270170,Juventude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48275862068966,19.74137931034483,22.727272727272727,24.22077922077922,0.0,0.0,0.0,-0.27,6.34375,3.951756590068071
