Codigo,Lance,Nome,Ocorrencia,PosicaoLance,TempoPartida,TimestampStr,atleta_id,apelido,sigla,posicao_id,match_id,tempo,tempo_2,clube_id,Codigo_SCT,match_id_sct,rodada_id,Torneio,Edicao,adversario_id,home_dummy,CampoPosicaoX,CampoPosicaoY,ContraAtaque,Metros,TravePosicaoX,TravePosicaoY,Goal,header,goal_x_px,goal_y_px,field_x_px,field_y_px,goal_x_metros,goal_y_metros,field_x_metros,field_y_metros,Center_dist,xG_angle_radians,xG_angle_degrees,xG_vertical_angle_radians,xG_vertical_angle_degrees,Timestamp,year,month,day,xG
59,Falta,Bloqueada,PT9M40S,28,1,2023-11-02T18:40:20,107908,Hugo,LAE,5,302731.0,09:40,18:40:20,290,59.0,15654.0,31,Brasileiro,2023.0,280,1.0,461.0,226.0,0,30.0,0.0,0.0,0,0,0.0,0.0,461.0,226.0,0.0,0.0,37.26990049751244,36.9281045751634,30.0,0.09836016645159248,5.635622409880519,0.0,0.0,2023-11-02 18:40:20,2023,11,2,0.0013012319104745984
1,Finalização,Fora da Área Bloqueado,PT13M36S,28,1,2023-11-02T18:14:10,84674,Lucas Evangelista,VOL,9,302731.0,13:36,18:14:10,280,1.0,15654.0,31,Brasileiro,2023.0,290,0.0,552.0,151.0,0,20.0,0.0,0.0,0,0,0.0,0.0,552.0,151.0,0.0,0.0,44.626865671641795,24.673202614379086,20.0,0.06970245229546228,3.9936563382419457,0.0,0.0,2023-11-02 18:14:10,2023,11,2,0.001309968763962388
18,Finalização Cabeça,Grande Área Para Fora,PT16M39S,34,1,2023-11-02T18:16:52,94444,Matheus Babi,ATA,10,302731.0,16:39,18:16:52,290,18.0,15654.0,31,Brasileiro,2023.0,280,1.0,398.0,60.0,0,10.0,189.0,278.0,0,1,189.0,278.0,398.0,60.0,5.16223880597015,6.650196078431373,32.17661691542289,9.803921568627452,10.0,0.0640991108041183,3.672608519617395,0.9737180648447727,55.7899355512513,2023-11-02 18:16:52,2023,11,2,0.0013383171753957868
20,Finalização,Dentro Área Fora,PT22M28S,33,1,2023-11-02T18:22:41,68917,Vinicius,ATA,10,302731.0,22:28,18:22:41,290,20.0,15654.0,31,Brasileiro,2023.0,280,1.0,284.0,86.0,0,10.0,555.0,278.0,0,0,555.0,278.0,284.0,86.0,15.158955223880598,6.650196078431373,22.960199004975127,14.052287581699346,10.0,0.14362827273775958,8.229293846627526,0.46436806997125185,26.60633054998843,2023-11-02 18:22:41,2023,11,2,0.0013154804473742843
20,Finalização,Dentro Área Fora,PT33M58S,33,1,2023-11-02T18:34:10,102598,Helinho,ATA,10,302731.0,33:58,18:34:10,280,20.0,15654.0,31,Brasileiro,2023.0,290,0.0,391.0,115.0,0,15.0,221.0,278.0,0,0,221.0,278.0,391.0,115.0,6.036268656716418,6.650196078431373,31.610696517412936,18.790849673202615,15.0,0.10237093473499437,5.865422505124378,0.8991336510137198,51.516563421274796,2023-11-02 18:34:10,2023,11,2,0.001524943858385086
24,Finalização,Fora da Área Para Fora,PT35M54S,28,1,2023-11-02T18:36:05,102598,Helinho,ATA,10,302731.0,35:54,18:36:05,280,24.0,15654.0,31,Brasileiro,2023.0,290,0.0,552.0,154.0,0,20.0,245.0,172.0,0,0,245.0,172.0,552.0,154.0,6.69179104477612,4.114509803921568,44.626865671641795,25.163398692810457,20.0,0.07041987041358065,4.034761368556346,0.6120943269724889,35.07042159942424,2023-11-02 18:36:05,2023,11,2,0.0014194280374795198
24,Finalização,Fora da Área Para Fora,PT38M,28,1,2023-11-02T18:38:15,84674,Lucas Evangelista,VOL,9,302731.0,38:00,18:38:15,280,24.0,15654.0,31,Brasileiro,2023.0,290,0.0,441.0,155.0,0,20.0,373.0,165.0,0,0,373.0,165.0,441.0,155.0,10.187910447761194,3.947058823529412,35.65298507462687,25.326797385620914,20.0,0.09730831703765921,5.575355877778835,0.41648173736749544,23.862645795433476,2023-11-02 18:38:15,2023,11,2,0.0018699968932196498
56,Falta,Fora,PT40M10S,28,1,2023-11-02T18:40:16,102598,Helinho,ATA,10,302731.0,40:10,18:40:16,280,56.0,15654.0,31,Brasileiro,2023.0,290,0.0,448.0,176.0,0,25.0,493.0,153.0,0,0,493.0,153.0,448.0,176.0,13.465522388059702,3.66,36.21890547263682,28.758169934640524,25.0,0.09872069831711873,5.656279364155152,0.3009202343604251,17.241459398939973,2023-11-02 18:40:16,2023,11,2,0.0013027404202148318
8,Finalização Cabeça,Grande Área Defendido,PT41M39S,34,1,2023-11-02T18:41:47,117314,Thiago Borbas,ATA,10,302731.0,41:39,18:41:47,280,8.0,15654.0,31,Brasileiro,2023.0,290,0.0,484.0,81.0,0,10.0,271.0,264.0,0,1,271.0,264.0,484.0,81.0,7.401940298507463,6.315294117647059,39.12935323383085,13.23529411764706,10.0,0.057166828154421964,3.2754179813980278,0.7723147978116909,44.250378370109395,2023-11-02 18:41:47,2023,11,2,0.001785955624654889
21,Finalização,Dentro Área Bloqueado,PT42M31S,34,1,2023-11-02T18:43:41,73781,Guilherme Marques,MEC,9,302731.0,42:31,18:43:41,290,21.0,15654.0,31,Brasileiro,2023.0,280,1.0,308.0,78.0,0,10.0,0.0,0.0,0,0,0.0,0.0,308.0,78.0,0.0,0.0,24.900497512437813,12.745098039215687,10.0,0.12071682696951215,6.916564701564078,0.0,0.0,2023-11-02 18:43:41,2023,11,2,0.0013069111155346036
